property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,DLF The Arbour,sector 63,8.5,21519,3950,Built Up area: 3950 (366.97 sq.m.),4,4,0,27,na,Undefined,,3950.0,,0,0,0,0,0,1,61
flat,M Skycity,sector 65,2.1,16030,1310,Super Built up area 1310(121.7 sq.m.),2,2,2,43,na,New Property,1310.0,,,0,0,0,0,0,1,127
flat,M Heights,sector 65,2.29,15980,1433,Carpet area: 1433 (133.13 sq.m.),2,2,3,8,na,Undefined,,,1433.0,1,0,0,0,0,1,15
house,Independent,sector 8,0.82,10224,7263,Carpet area: 802 (74.51 sq.m.),4,4,,2,na,Undefined,,,802.0,0,0,0,0,0,1,0
flat,Prime Habitat,sector 99a,0.27,6049,4014,Carpet area: 448 (41.62 sq.m.),2,2,1,10,south,Relatively New,,,448.0,0,0,0,0,0,1,67
flat,M Heights,sector 65,1.9,13991,1358,Built Up area: 1358 (126.16 sq.m.),2,2,2,40,na,Undefined,,1358.0,,0,0,0,0,0,1,0
flat,Raheja Vanya,sector 99a,0.85,6789,1252,Super Built up area 1252(116.31 sq.m.),2,2,2,3,west,New Property,1252.0,,,0,0,0,0,0,1,43
flat,M Heights,sector 65,2.25,13608,1653,Carpet area: 1433 (133.13 sq.m.),2,2,3,5,na,New Property,,,1433.0,0,0,0,0,0,1,0
flat,Indiabulls Centrum Park,sector 103,2.45,8521,2875,Super Built up area 2875(267.1 sq.m.),4,2,3,5,na,Relatively New,2875.0,,,0,1,0,0,0,1,38
house,Independent,sector 50,12.5,40605,3078,Plot area 342(285.96 sq.m.),6,2,,4,east,Moderately Old,,3084.0,,1,1,0,1,0,0,23
flat,DLF Regency Park,sector 28,2.3,11817,1946,Built Up area: 1777 (165.09 sq.m.),3,3,3,7,north-east,Moderately Old,,1777.0,,0,1,0,0,0,1,117
flat,Suncity Vatsal Valley,gwal pahari,1.38,12212,1130,Built Up area: 1130 (104.98 sq.m.),2,2,2,4,east,Undefined,,1130.0,,0,0,0,0,0,0,133
flat,Chanderlok Society,sector 28,0.9,7234,1244,Carpet area: 1244 (115.57 sq.m.),4,2,3+,1,na,Old,,,1244.0,0,0,0,0,0,1,0
house,DLF The Arbour,sector 63,8.5,21519,3950,Built Up area: 3950 (366.97 sq.m.),4,4,,27,na,Undefined,,3950.0,,0,0,0,0,0,1,61
house,Independent,sector 43,2.2,6875,3196,Plot area 3200(297.29 sq.m.),2,2,,6,north,New Property,,3200.0,,0,1,0,0,0,2,50
flat,SS Residency Residency The Leaf,sector 85,1.04,8320,1250,Super Built up area 1640(152.36 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,3,17,east,New Property,1640.0,1550.0,1250.0,0,0,0,0,1,1,145
house,Independent,sector 25,11.0,35484,3100,Plot area 344(287.63 sq.m.),5,2,,2,na,Relatively New,,3102.0,,1,1,1,1,0,1,29
flat,Vatika City,sector 49,1.72,7818,2200,Carpet area: 2200 (204.39 sq.m.),3,3,2,2,north-east,Old,,,2200.0,0,0,0,0,0,0,144
house,Independent,sector 9,0.6,10753,5031,Plot area 62(51.84 sq.m.),2,2,,1,north-east,Moderately Old,,559.0,,0,0,0,0,0,1,8
house,Independent,sector 38,1.4,23932,5229,Plot area 65(54.35 sq.m.)Built Up area: 62 sq.yards (51.84 sq.m.)Carpet area: 60 sq.yards (50.17 sq.m.),2,2,,4,east,Moderately Old,,559.0,60.0,0,0,0,0,1,0,40
flat,Ashiana Anmol,sohna road,0.93,7294,1275,Super Built up area 1275(118.45 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 875 sq.ft. (81.29 sq.m.),2,2,2,9,na,Undefined,1275.0,1000.0,875.0,0,0,0,0,1,1,31
house,Signature Global City,sector 81,0.75,6849,1097,Plot area 1095(101.73 sq.m.),3,2,,4,east,Undefined,,1095.0,,1,0,0,0,0,1,97
flat,Sahara Grace,sector 28,5.5,14612,3764,Super Built up area 3764(349.69 sq.m.),4,2,3+,5,east,Moderately Old,3764.0,,,0,1,0,0,1,0,8
flat,Central Park Flower Valley Aqua Front Towers,sector 33,2.0,11179,1789,Super Built up area 1789(166.2 sq.m.),3,3,3+,8,north-east,New Property,1789.0,,,0,0,0,0,0,1,23
flat,Bestech Park View Residency,sector 2,1.26,8051,1565,Super Built up area 1565(145.39 sq.m.),2,2,3,7,south-east,Moderately Old,1565.0,,,1,0,0,0,0,1,84
flat,Vatika City Homes,sector 83,1.05,8571,1225,Super Built up area 1740(161.65 sq.m.)Carpet area: 1225 sq.ft. (113.81 sq.m.),3,3,3,8,south-east,Moderately Old,1740.0,,1225.0,0,0,0,1,0,0,103
flat,Jmd Gardens,sector 33,3.25,7510,4328,Carpet area: 4328 (402.08 sq.m.),4,4,3+,17,south-east,Old,,,4328.0,0,1,0,0,0,0,130
house,Independent,sector 4,0.92,15257,5418,Plot area 67(56.02 sq.m.),4,1,,4,east,Moderately Old,,604.0,,0,0,0,0,1,1,0
flat,DLF New Town Heights,sector 86,1.28,8205,1560,Super Built up area 1930(179.3 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3,4,3+,12,west,Moderately Old,1930.0,,1560.0,0,1,0,1,0,1,96
flat,SS Residency Residency The Leaf,sector 85,1.78,7392,2408,Super Built up area 2408(223.71 sq.m.),3,4,3+,6,west,New Property,2408.0,,,0,0,1,0,0,1,113
flat,Tata Primanti,sector 72,3.19,12152,2625,Super Built up area 2625(243.87 sq.m.),4,2,3+,20,north,Relatively New,2625.0,,,0,1,0,0,0,0,159
flat,Pareena Mi Casa,sector 68,1.1,8835,1245,Super Built up area 1245(115.66 sq.m.),2,2,3,11,north,New Property,1245.0,,,0,0,0,0,0,1,95
flat,Czar Mahira Homes,sector 63a,0.42,7407,5103,Carpet area: 567 (52.68 sq.m.),3,2,2,-1,na,Undefined,,,567.0,0,0,0,0,0,1,0
house,Independent,sector 12,1.7,9444,1797,Built Up area: 200 (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),3,3,,1,na,Undefined,,1804.0,180.0,0,0,0,0,0,1,0
flat,Breez Global Hill View,sohna road,0.35,5600,5625,Carpet area: 625 (58.06 sq.m.),2,2,2,14,na,Relatively New,,,625.0,0,0,0,0,0,1,98
house,Independent,sohna road,0.5,5555,8136,Plot area 900(83.61 sq.m.),2,1,,1,na,Moderately Old,,900.0,,0,0,0,0,0,1,0
flat,The Close North,sector 50,2.35,11227,2093,Super Built up area 2093(194.45 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,3,8,north-east,Moderately Old,2093.0,2000.0,1850.0,0,0,1,0,0,0,149
flat,Unitech Sunbreeze,sector 69,0.75,6849,1095,Super Built up area 1095(101.73 sq.m.),2,2,2,4,na,New Property,1095.0,,,0,0,0,0,0,1,0
flat,Guru Gram Haryana Cghs,sector 56,1.39,8424,1650,Super Built up area 1850(171.87 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,2,3,6,south,Old,1850.0,1750.0,1650.0,0,1,0,1,0,0,89
house,Independent,sector 11,2.2,12222,1797,Plot area 1800(167.23 sq.m.),4,3,,1,south,Old,,1800.0,,1,0,0,1,0,1,24
flat,Godrej Summit,sector 104,0.98,5950,1647,Super Built up area 1647(153.01 sq.m.),3,3,3,12,east,Relatively New,1647.0,,,0,0,0,0,1,1,79
house,Independent,sector 82,7.0,21605,3239,Plot area 360(301.01 sq.m.),4,4,,1,north-east,Relatively New,,3247.0,,1,1,0,1,0,0,49
house,Independent,sector 40,12.0,38980,3078,Plot area 342(285.96 sq.m.),4,1,,4,na,New Property,,3084.0,,1,1,1,1,0,0,0
house,Tata Primanti,sector 72,8.6,12285,6996,Built Up area: 7000 (650.32 sq.m.),4,3,,3,na,Relatively New,,7000.0,,0,0,0,0,0,0,30
house,Independent,sector 26,5.8,12837,4520,Plot area 502(419.74 sq.m.),4,1,,4,na,Old,,4527.0,,0,0,0,0,0,1,38
flat,Shapoorji Pallonji Joyville,sector 102,1.95,10529,1852,Super Built up area 1852(172.06 sq.m.),3,3,3,10,north-east,Relatively New,1852.0,,,0,0,0,0,0,1,59
flat,South City  Floors,sector 41,3.4,11724,2900,Built Up area: 2900 (269.42 sq.m.),4,4,3,0,na,Undefined,,2900.0,,0,0,0,0,0,1,0
flat,Bhagwati Sadan,sector 12,1.15,5750,2000,Super Built up area 2500(232.26 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,2,2,na,Old,2500.0,2000.0,1750.0,1,1,0,0,1,0,28
house,Independent,sector 24,6.5,22855,2841,Plot area 316(264.22 sq.m.),4,4,,2,na,Old,,2850.0,,0,0,0,1,0,1,35
flat,Signature Global Solera,sector 107,0.36,6569,4932,Super Built up area 548(50.91 sq.m.),2,2,1,9,south,Relatively New,548.0,,,0,0,0,0,0,1,28
flat,Tata Primanti,sector 72,4.1,13725,2987,Super Built up area 2550(236.9 sq.m.),3,3,3,8,na,Moderately Old,2550.0,,,0,1,0,0,0,1,38
flat,Adani Aangan Arcade,sector 88a,0.45,7194,5634,Carpet area: 625.47 (58.11 sq.m.),2,2,1,8,na,New Property,,,625.0,0,0,0,0,0,1,14
flat,Pyramid Urban Homes,sector 86,0.5,9615,4680,Carpet area: 520 (48.31 sq.m.),2,2,1,10,na,Relatively New,,,520.0,0,0,0,0,0,1,15
flat,Tata Primanti,sector 72,4.1,14100,2908,Super Built up area 2905(269.88 sq.m.),4,2,3+,39,na,New Property,2905.0,,,0,1,0,0,1,1,103
flat,Emaar MGF Emerald Estate,sector 65,1.7,21013,7281,Super Built up area 1395(129.6 sq.m.)Carpet area: 809 sq.ft. (75.16 sq.m.),3,3,3,7,south-east,Relatively New,1395.0,,809.0,1,0,0,0,0,0,116
flat,AFNHB Jalvayu Vihar,sector 30,1.45,11153,1300,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),3,2,2,2,north,Old,,1300.0,1090.0,0,0,0,0,0,2,75
flat,M Woodshire,sector 107,1.01,7394,1366,Super Built up area 1366(126.91 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,11,na,New Property,1366.0,1200.0,,0,0,0,0,1,1,74
flat,Shree Vardhman Flora,sector 90,0.7,5177,1352,Super Built up area 1352(125.6 sq.m.),2,2,3,9,east,New Property,1352.0,,,1,0,0,0,0,1,97
flat,HCBS Sports Ville,sohna road,0.27,4345,5589,Built Up area: 619 (57.51 sq.m.),2,2,2,10,na,Relatively New,,619.0,,0,0,0,0,0,1,43
flat,Sobha City,sector 108,3.35,13266,2525,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19,na,New Property,2073.0,,,0,0,0,0,0,1,102
flat,Godrej,sector 79,1.3,8269,1572,Super Built up area 1572(146.04 sq.m.),2,2,3,3,north-east,New Property,1572.0,,,1,0,0,0,0,1,49
flat,Signature Global Synera,sector 81,0.5,7886,5706,Carpet area: 634 (58.9 sq.m.),2,2,1,11,east,New Property,,,634.0,0,0,0,0,0,2,97
flat,Microtek Greenburg,sector 86,1.25,8445,1480,Super Built up area 1480(137.5 sq.m.),2,2,3,13,west,Moderately Old,1480.0,,,1,0,0,0,0,1,6
flat,Shapoorji Pallonji Joyville,sector 102,2.12,16960,1250,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9,na,Relatively New,,1852.0,1250.0,0,0,0,0,0,1,72
flat,Microtek Greenburg,sector 86,1.93,8446,2285,Super Built up area 2285(212.28 sq.m.),3,4,3,12,east,Relatively New,2285.0,,,0,1,0,0,0,1,72
house,Independent,sector 12,1.2,14184,7650,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),4,4,,2,north,Relatively New,,846.0,,0,0,0,1,0,0,7
flat,Experion Windchants,sector 112,3.29,11741,2802,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,3,3+,2,south,Relatively New,2802.0,2226.0,,0,1,0,0,0,0,152
flat,Shree Vardhman Flora,sector 90,0.86,6254,1375,Super Built up area 1950(181.16 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1375 sq.ft. (127.74 sq.m.),3,4,3,0,north,Relatively New,1950.0,1525.0,1375.0,0,1,0,0,0,0,84
flat,Shree Vardhman Victoria,sector 70,1.66,14254,1165,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,2,3,8,north,Relatively New,1950.0,,1161.0,0,1,0,0,0,1,108
house,Independent,sector 37d,2.5,13157,1905,Plot area 1900(176.52 sq.m.),5,2,,2,na,Relatively New,,1900.0,,0,0,0,0,0,1,0
flat,Eldeco Accolade,sohna road,0.96,6571,1461,Super Built up area 1457(135.36 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,14,east,Relatively New,1457.0,,849.0,1,0,0,0,0,1,151
house,Independent,sector 11,1.35,3857,3498,Plot area 3500(325.16 sq.m.),3,2,,3,na,Old,,3500.0,,0,0,0,0,0,1,0
house,Independent,sector 4,0.67,9880,6102,Plot area 76(7.06 sq.m.),3,3,,2,south,Relatively New,,76.0,,0,0,0,0,1,1,7
flat,Alpha Corp One,sector 84,2.2,6406,3434,Super Built up area 3434(319.03 sq.m.),4,4,3+,15,south-west,Relatively New,3434.0,,,0,1,0,0,0,1,97
flat,Hector Trimurti Heights,sector 39,1.5,6382,2350,Carpet area: 2350 (218.32 sq.m.),4,3,3,10,south-east,Old,,,2350.0,0,1,0,0,0,2,49
house,Independent,sector 91,3.6,14815,2432,Plot area 270(225.75 sq.m.),4,4,,2,north-east,New Property,,2435.0,,0,0,0,0,0,0,49
flat,Krrish Florence Estate,sector 70,1.3,5600,2321,Built Up area: 1865 (173.26 sq.m.),3,3,3,17,na,Undefined,,1865.0,,0,0,0,0,0,0,61
flat,Bestech Park View City,sector 49,2.9,12169,2383,Super Built up area 2383(221.39 sq.m.),4,4,3+,5,south-west,Moderately Old,2383.0,,,0,1,0,0,0,1,117
flat,Shree Vardhman Flora,sector 90,0.7,5325,1315,Super Built up area 1352(125.6 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.),2,2,3,9,east,New Property,1352.0,1350.0,,1,0,0,0,0,1,60
flat,Shree Vardhman Flora,sector 90,0.92,4906,1875,Super Built up area 1875(174.19 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,1,3,4,north-east,Relatively New,1875.0,,1161.0,0,1,0,0,0,1,116
flat,DLF Carlton Estate,sector 43,2.1,15418,1362,Super Built up area 1362(126.53 sq.m.),3,3,1,2,east,Old,1362.0,,,0,0,1,0,0,0,88
flat,DLF City,shankar vihar,2.02,8080,2500,Super Built up area 2500(232.26 sq.m.),4,3,1,2,na,New Property,2500.0,,,0,0,0,0,0,1,0
flat,Godrej,sector 79,1.91,8511,2244,Super Built up area 2244(208.47 sq.m.),3,4,3+,7,north-east,Relatively New,2244.0,,,0,1,0,0,0,1,158
flat,Shree Kirpalu Gi,sector 52,1.45,7631,1900,Super Built up area 1900(176.52 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,7,west,Relatively New,1900.0,1800.0,1700.0,0,0,0,0,1,0,108
flat,DLF Regency Park,sector 28,1.35,11992,1126,Built Up area: 1109 (103.03 sq.m.),2,2,2,1,na,Moderately Old,,1109.0,,0,0,0,0,0,1,0
flat,Ashok Vihar Phase,sector 3 phase 2,0.28,4307,5850,Super Built up area 650(60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,1,3,north,Relatively New,650.0,,550.0,0,0,0,0,0,1,64
flat,Tulip Violet,sector 69,1.29,8227,1568,Super Built up area 1568(145.67 sq.m.),3,3,1,12,north-east,Relatively New,1568.0,,,0,0,0,1,0,0,86
flat,Alpha Corp One,sector 84,1.15,7496,1534,Super Built up area 1534(142.51 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,8,north-east,Relatively New,1534.0,,1200.0,1,0,0,0,0,0,37
house,Spaze Privy,sector 72,3.09,6981,3648,Built Up area: 3653 (339.37 sq.m.)Carpet area: 2922 sq.ft. (271.46 sq.m.),5,2,,14,east,Relatively New,,3653.0,2922.0,0,1,0,0,0,0,33
house,Row House,sector 105,0.43,9135,4158,Plot area 52(43.48 sq.m.)Built Up area: 1050 sq.yards (877.93 sq.m.),3,3,,2,na,Relatively New,,1050.0,,0,0,0,0,0,1,0
flat,Birla Navya,sector 63a,3.7,15416,2400,Carpet area: 2400 (222.97 sq.m.),3,3,3+,1,north,New Property,,,2400.0,0,0,0,0,0,1,72
flat,Pareena Coban Residences,sector 99a,1.38,7150,1930,Super Built up area 2352(218.51 sq.m.)Built Up area: 2150 sq.ft. (199.74 sq.m.)Carpet area: 1930 sq.ft. (179.3 sq.m.),4,2,3+,1,south-east,Relatively New,2352.0,2150.0,1930.0,0,1,0,0,1,1,49
flat,Mittal Surya Vihar,sector 21,1.4,5833,2400,Super Built up area 2400(222.97 sq.m.),5,4,2,2,na,Moderately Old,2400.0,,,0,0,0,0,0,1,0
flat,Sidhartha Ncr One Phase,sector 95,0.56,4105,1364,Super Built up area 1364(126.72 sq.m.),2,2,2,10,na,Relatively New,1364.0,,,0,0,0,0,0,0,60
flat,SBTL Caladium,sector 109,1.35,7180,1880,Super Built up area 1880(174.66 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3,2,3+,12,west,Relatively New,1880.0,,1128.0,0,0,0,0,0,1,128
house,Independent,sector 67,1.5,8642,1625,Carpet area: 180 (150.5 sq.m.),5,3,,2,na,New Property,,,180.0,0,0,0,0,0,1,0
flat,Signature Global Park,sohna road,0.95,7846,1211,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3,2,3+,1,na,Relatively New,,757.0,757.0,0,0,0,0,0,1,46
flat,Bestech Park View Spa Next,sector 67,2.7,11489,2350,Super Built up area 2350(218.32 sq.m.),4,4,3+,9,south-west,Moderately Old,2350.0,,,0,1,0,1,0,0,149
flat,Shree Vardhman Flora,sector 90,0.95,6333,1500,Carpet area: 1500 (139.35 sq.m.),3,3,3,9,south-east,Relatively New,,,1500.0,0,1,0,0,0,1,90
flat,Satya Element One,sector 49,0.94,14009,6039,Carpet area: 671 (62.34 sq.m.),1,2,2,2,east,Undefined,,,671.0,0,0,0,0,0,1,0
house,Independent,sector 7,0.53,5888,8136,Built Up area: 900 (83.61 sq.m.),2,2,,1,na,Undefined,,900.0,,0,0,0,0,0,1,0
flat,Tulip Violet,sector 69,1.37,8675,1579,Super Built up area 1578(146.6 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,1,12,east,Relatively New,1578.0,,1538.0,0,0,0,1,0,1,95
flat,Bestech Park View Grand Spa,sector 81,2.22,8345,2660,Super Built up area 2660(247.12 sq.m.),3,4,3+,15,south-east,Relatively New,2660.0,,,0,1,0,0,0,0,174
flat,Parsvnath Green Ville,sector 48,3.3,9984,3305,Super Built up area 3905(362.79 sq.m.)Built Up area: 3305 sq.ft. (307.04 sq.m.),5,2,3+,4,na,Old,3905.0,3305.0,,0,1,0,0,0,1,71
flat,Sonata Group Housing Gh,manesar,1.65,5892,2800,Carpet area: 2800 (260.13 sq.m.),4,3,3,8,na,New Property,,,2800.0,0,1,0,0,0,1,20
house,Ansal Height Heights Palam Vihar,sector 2,4.0,16666,2400,Plot area 2400(222.97 sq.m.),4,4,,2,north-east,Moderately Old,,2400.0,,0,1,0,0,0,1,0
house,Independent,sector 54,3.51,12342,2841,Plot area 316(264.22 sq.m.),4,1,,4,north,New Property,,2850.0,,0,1,0,0,0,1,73
flat,Godrej Nature Plus,sector 33,1.7,12592,1350,Carpet area: 1350 (125.42 sq.m.),3,3,3+,6,na,New Property,,,1350.0,0,1,0,0,0,1,38
flat,Indiabulls Enigma,sector 110,3.49,10264,3400,Super Built up area 3400(315.87 sq.m.),4,2,3,7,north-west,Relatively New,3400.0,,,0,1,0,0,0,1,165
flat,The Close North,sector 50,2.5,11944,2093,Super Built up area 2093(194.45 sq.m.),3,3,3,11,north-east,Relatively New,2093.0,,,0,0,0,1,0,0,127
house,Independent,sector 4,0.75,11718,5715,Plot area 640(59.46 sq.m.),5,4,,2,na,Moderately Old,,640.0,,0,0,0,0,0,1,0
flat,Ramson Kshitij,sector 95,0.27,2700,1000,Super Built up area 1000(92.9 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,0,1,west,Undefined,1000.0,,550.0,0,0,0,0,0,1,0
house,Independent,sector 24,5.25,35863,1463,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),4,4,,2,east,Relatively New,,1443.0,150.0,0,1,0,1,0,0,72
house,Emaar MGF Marbella,sector 66,12.0,37038,3239,Plot area 360(301.01 sq.m.),5,2,,3,east,New Property,,3247.0,,0,1,1,1,0,0,106
flat,Ansal Height Height Heights,sector 86,0.78,5735,1360,Super Built up area 1360(126.35 sq.m.),2,2,1,8,east,New Property,1360.0,,,0,0,0,0,0,1,67
house,Independent,sector 26,19.0,42229,4499,Plot area 500(418.06 sq.m.),6,3,,3,east,Moderately Old,,4509.0,,1,1,1,1,0,0,103
flat,Emaar Imperial Gardens,sector 102,1.98,9900,2000,Carpet area: 2000 (185.81 sq.m.),3,3,3+,9,north,Relatively New,,,2000.0,0,1,0,0,0,0,72
flat,La Vida By Tata Housing,sector 113,1.9,18500,1027,Super Built up area 1579(146.69 sq.m.)Carpet area: 1027 sq.ft. (95.41 sq.m.),3,2,2,10,north-east,Relatively New,1579.0,,1027.0,0,0,0,1,0,0,174
flat,Deepak Minda,manesar,1.2,4528,2650,Carpet area: 2650 (246.19 sq.m.),3,3,3+,6,north-west,Moderately Old,,,2650.0,0,1,0,0,0,1,7
house,Independent,sector 4,0.47,10601,3969,Plot area 49(40.97 sq.m.)Built Up area: 50 sq.yards (41.81 sq.m.)Carpet area: 48 sq.yards (40.13 sq.m.),2,2,,2,east,New Property,,451.0,48.0,1,0,0,0,0,0,73
flat,Bestech Park View Spa Next,sector 67,2.85,12127,2350,Super Built up area 2350(218.32 sq.m.),4,4,3+,5,south,Moderately Old,2350.0,,,0,1,0,1,0,0,149
house,Independent,sector 39,7.0,10000,3195,Plot area 350(32.52 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),2,1,,4,south-east,Relatively New,,7000.0,,0,0,0,1,0,0,38
flat,Tulip Violet,sector 69,1.95,9701,2010,Super Built up area 2010(186.74 sq.m.),4,4,2,0,west,Relatively New,2010.0,,,0,0,0,0,0,1,157
flat,Pyramid Urban Homes,sector 86,0.6,8000,6750,Carpet area: 750 (69.68 sq.m.),3,2,2,2,east,New Property,,,750.0,0,0,0,0,0,1,13
flat,Godrej Summit,sector 104,1.75,7530,2324,Carpet area: 2324 (215.91 sq.m.),4,2,3+,1,na,New Property,,,2324.0,0,1,0,0,0,1,60
flat,DLF The Ultima,sector 81,2.2,11190,1966,Super Built up area 2100(195.1 sq.m.),3,4,3+,7,north-east,Relatively New,2100.0,,,0,1,0,0,0,2,104
house,Independent,sector 7,1.95,13542,1442,Plot area 160(133.78 sq.m.),2,2,,2,na,Old,,1443.0,,0,0,0,0,0,1,0
flat,Signature Global City,sector 81,0.96,9767,8847,Carpet area: 1075 (99.87 sq.m.),2,2,2,1,na,New Property,,,1075.0,0,0,0,0,0,1,49
flat,SS Residency Residency The Leaf,sector 85,1.58,7714,2048,Super Built up area 2408(223.71 sq.m.)Carpet area: 2048 sq.ft. (190.27 sq.m.),3,4,3,8,east,Relatively New,2408.0,,2048.0,0,1,0,0,0,1,159
flat,Tulip Violet,sector 69,1.4,8871,1578,Super Built up area 1578(146.6 sq.m.),3,3,2,11,north,Relatively New,1578.0,,,0,0,0,1,0,1,126
house,Vipul Tatvam Villa,sector 48,7.65,19125,4004,Built Up area: 4000 (371.61 sq.m.),4,4,,2,north-east,Moderately Old,,4000.0,,1,1,0,0,1,1,49
house,Satya The Legend,sector 57,9.25,16577,5780,Plot area 642(536.79 sq.m.)Built Up area: 630 sq.yards (526.76 sq.m.)Carpet area: 620 sq.yards (518.4 sq.m.),5,2,,4,north-east,Relatively New,,5682.0,620.0,1,1,1,1,0,0,160
flat,Shree Vardhman Flora,sector 90,1.25,4854,2575,Carpet area: 2575 (239.23 sq.m.),4,4,3,10,east,Relatively New,,,2575.0,1,0,0,1,0,1,174
flat,The Cocoon,dwarka expressway,2.0,13333,1500,Super Built up area 1500(139.35 sq.m.),3,3,3,5,na,New Property,1500.0,,,0,0,0,0,0,1,0
flat,Unitech Fresco,sector 50,1.88,10479,1794,Super Built up area 1794(166.67 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,14,north,Moderately Old,1794.0,1790.0,1450.0,0,0,0,0,1,0,174
flat,M Merlin,sector 67,2.9,14167,2047,Super Built up area 2047(190.17 sq.m.),3,3,3,0,west,Relatively New,2047.0,,,0,0,0,0,1,0,49
house,Independent,sector 43,6.5,33548,1937,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,,3,south-east,Moderately Old,,1939.0,,0,1,0,1,0,0,54
flat,The Lions Cghs,sector 56,1.99,11055,1800,Super Built up area 2400(222.97 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,1,3+,4,east,Old,2400.0,2000.0,1800.0,0,0,0,1,1,0,105
flat,Smart World Gems,sector 89,1.71,12000,1425,Built Up area: 1423 (132.2 sq.m.),3,2,0,3,na,Undefined,,1423.0,,0,0,0,0,0,1,45
flat,Nagata Group Housing Society,sector 1,0.85,3695,2300,Super Built up area 2300(213.68 sq.m.),3,1,3+,4,north,Relatively New,2300.0,,,0,1,0,0,0,1,5
house,Independent,sector 103,2.25,6367,3530,Built Up area: 3534 (328.32 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,2,,10,south,Undefined,,3534.0,2000.0,0,0,0,0,0,1,0
house,Vipul Tatvam Villa,sector 48,8.2,25309,3239,Plot area 360(301.01 sq.m.),3,3,,2,north,Moderately Old,,3247.0,,1,1,0,1,0,2,160
house,Independent,sector 108,1.7,5666,3003,Built Up area: 3000 (278.71 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4,4,,1,north-east,Undefined,,3000.0,2600.0,0,0,0,0,0,1,0
house,Independent,sector 47,4.6,26544,1732,Plot area 192(160.54 sq.m.),1,2,,4,na,Moderately Old,,1732.0,,0,0,0,0,0,2,51
house,Huda Housing Board Colony,sector 31,4.6,31423,1463,Plot area 1460(135.64 sq.m.),2,2,,3,east,Old,,1460.0,,0,0,0,0,1,1,8
flat,Emaar Palm Gardens,sector 83,1.48,7789,1900,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,7,east,Relatively New,1900.0,,1240.0,0,1,0,0,0,1,66
flat,Mapsko Mount Ville,sector 79,1.4,9395,1490,Carpet area: 1490 (138.43 sq.m.),3,3,3,2,north,New Property,,,1490.0,0,0,0,0,0,0,112
