property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,area_in_sq_ft,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Paras Quartier,Gwal Pahari,7.5,14018.0,5350.0,Super Built up area 5350(497.03 sq.m.),4,4,3+,20,north-east,New Property,,5350.0,,,0,1,0,1,1,2,49
flat,La Vida By Tata Housing,Sector 113,1.45,11363.0,1276.0,Super Built up area 1276(118.54 sq.m.)Carpet area: 904.01 sq.ft. (83.99 sq.m.),2,2,2,6,south,Relatively New,,1276.0,,904.06,0,0,0,0,0,0,80
flat,The Close North,Sector 50,2.35,11767.0,1997.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1950 sq.ft. (181.16 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,3+,8,north-east,Moderately Old,,1997.0,1950.0,1850.0,0,0,0,0,0,2,165
flat,Vatika The Seven Lamps,Sector 82,0.94,6567.0,1431.0,Super Built up area 1435(133.32 sq.m.),2,2,2,12,east,Relatively New,,1435.0,,,1,0,0,0,0,2,103
flat,Vatika The Seven Lamps,Sector 82,0.8,6192.0,1292.0,Super Built up area 1300(120.77 sq.m.),2,2,2,15,west,Relatively New,,1300.0,,,0,0,0,0,0,2,117
flat,The Close South,Sector 50,3.1,12444.0,2491.0,Super Built up area 2491(231.42 sq.m.)Built Up area: 2450 sq.ft. (227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3+,4,north-east,Moderately Old,,2491.0,2450.0,2250.0,0,1,0,0,0,2,165
flat,Vatika The Seven Lamps,Sector 82,1.39,6412.0,2168.0,Super Built up area 2160(200.67 sq.m.),3,3,3+,11,east,Relatively New,,2160.0,,,1,1,0,0,0,2,117
flat,Vatika The Seven Lamps,Sector 82,0.94,6533.0,1439.0,Super Built up area 1435(133.32 sq.m.),2,2,3+,9,north,Relatively New,,1435.0,,,1,0,0,0,0,2,117
flat,Vatika The Seven Lamps,Sector 82,0.78,5932.0,1315.0,Super Built up area 1298(120.59 sq.m.),2,2,2,0,north-west,Relatively New,,1298.0,,,0,0,0,0,0,2,103
flat,Vatika The Seven Lamps,Sector 82,0.86,5979.0,1438.0,Super Built up area 1430(132.85 sq.m.),2,2,2,9,north-east,Relatively New,,1430.0,,,1,0,0,0,0,0,117
flat,Orris Aster Court,Sector 85,0.68,5221.0,1302.0,Super Built up area 1312(121.89 sq.m.)Built Up area: 1075 sq.ft. (99.87 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),2,2,2,5,south-west,Relatively New,,1312.0,1075.0,975.0,0,0,0,0,0,0,37
flat,Godrej,Sector 79,2.03,9046.0,2244.0,Super Built up area 2244(208.47 sq.m.),3,4,3+,7,south-east,Relatively New,,2244.0,,,0,1,0,0,0,0,118
flat,Orris Carnation Residency,Sector 85,0.8,4857.0,1647.0,Super Built up area 1645(152.83 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1275 sq.ft. (118.45 sq.m.),3,4,3,4,west,Relatively New,,1645.0,1390.0,1275.0,0,1,0,0,0,2,40
flat,Shree Vardhman Flora,Sector 90,0.64,6789.0,943.0,Super Built up area 1350(125.42 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,9,south-east,Relatively New,,1350.0,1050.0,950.0,1,0,0,0,0,0,67
flat,SS Residency Residency The Coralwood,Sector 84,1.01,5771.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1475 sq.ft. (137.03 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,18,north-west,Relatively New,,1750.0,1475.0,1350.0,0,0,0,0,0,0,40
flat,Shree Vardhman Flora,Sector 90,1.27,4951.0,2565.0,Super Built up area 2575(239.23 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,5,2,9,north-east,New Property,,2575.0,,1950.0,1,1,0,0,0,0,83
flat,Vatika,Sector 83,0.84,6746.0,1245.0,Super Built up area 1245(115.66 sq.m.),2,2,2,7,east,Moderately Old,,1245.0,,,0,0,0,0,0,2,157
flat,SS Residency Residency The Leaf,Sector 85,1.77,7350.0,2408.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3,6,south-east,Moderately Old,,2408.0,1450.0,1300.0,0,1,0,0,0,2,135
flat,Tulip Violet,Sector 69,1.68,8348.0,2012.0,Super Built up area 2010(186.74 sq.m.),4,4,2,1,south-west,Relatively New,,2010.0,,,0,0,0,1,0,0,102
flat,Tulip Violet,Sector 69,1.66,8408.0,1974.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12,south-east,Relatively New,,1970.0,,,0,0,0,1,0,0,102
flat,Tulip Violet,Sector 69,1.4,8861.0,1580.0,Super Built up area 1578(146.6 sq.m.),3,3,2,2,north-east,Relatively New,,1578.0,,,0,0,0,1,0,0,102
flat,DLF The Ultima,Sector 81,2.29,10928.0,2096.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,15,west,Relatively New,,2100.0,,,0,1,0,0,0,1,103
flat,DLF New Town Heights,Sector 90,1.21,6243.0,1938.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),3,3,3+,7,west,Relatively New,,1930.0,1929.0,1928.0,0,1,0,1,0,0,127
flat,Sare Homes,Sector 92,0.5,4237.0,1180.0,Super Built up area 1180(109.63 sq.m.),3,3,2,1,north,Relatively New,,1180.0,,,0,0,0,0,0,0,26
flat,Umang Winter Hills,Sector 77,0.71,5305.0,1338.0,Super Built up area 1342(124.68 sq.m.)Carpet area: 810 sq.ft. (75.25 sq.m.),2,2,2,6,north-west,Relatively New,,1342.0,,810.0,1,0,0,0,0,0,108
flat,Emaar MGF Emerald Floors Premier,Sector 65,3.0,15189.0,1975.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,2,south-east,Relatively New,,1975.0,,,0,1,0,0,0,0,87
flat,DLF Regal Gardens,Sector 90,1.2,6837.0,1755.0,Super Built up area 1755(163.04 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,15,south-west,Relatively New,,1755.0,,1400.0,0,0,0,0,0,0,118
flat,Tata Primanti,Sector 72,3.25,10545.0,3082.0,Super Built up area 3300(306.58 sq.m.),3,3,3,2,south,Moderately Old,,3300.0,,,0,1,0,0,0,0,94
flat,Ashiana Mulberry,Sohna Road,0.9,6143.0,1465.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3+,7,north-east,Moderately Old,,1465.0,1100.0,1000.0,1,0,0,0,0,2,156
flat,Ashiana Mulberry,Sohna Road,1.07,6184.0,1730.0,Super Built up area 1730(160.72 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,7,north-east,Relatively New,,1730.0,1600.0,1300.0,0,0,0,0,0,0,167
flat,SS Residency Residency The Leaf,Sector 85,1.2,7317.0,1640.0,Super Built up area 1640(152.36 sq.m.),2,2,3,12,south,Relatively New,,1640.0,,,0,0,0,0,0,2,157
flat,SS Residency Residency The Leaf,Sector 85,2.15,7645.0,2812.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,1,south,Relatively New,,2812.0,,,0,1,0,0,0,0,165
flat,Tulip Violet,Sector 69,1.72,8730.0,1970.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12,north-east,Relatively New,,1970.0,,,0,0,0,0,0,0,86
flat,Tulip Violet,Sector 69,1.36,8841.0,1538.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12,north-west,Relatively New,,1538.0,,,0,0,0,1,0,0,86
flat,Tulip Violet,Sector 69,1.75,8883.0,1970.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12,north-west,Relatively New,,1970.0,,,0,0,0,0,0,0,86
flat,Tulip Violet,Sector 69,1.75,8882.0,1970.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12,north-west,Relatively New,,1970.0,,,0,0,0,0,0,0,86
flat,Tulip Violet,Sector 69,1.38,8966.0,1539.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12,west,Relatively New,,1538.0,,,0,0,0,1,0,0,86
flat,Tulip Violet,Sector 69,1.29,8227.0,1568.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12,north-east,Relatively New,,1568.0,,,0,0,0,1,0,2,86
flat,Tulip Violet,Sector 69,1.37,8675.0,1579.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,1,12,east,Relatively New,,1578.0,,1538.0,0,0,0,1,0,0,95
flat,Tulip Violet,Sector 69,1.32,8411.0,1569.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12,south-west,Relatively New,,1568.0,,,0,0,0,1,0,2,86
flat,Tulip Violet,Sector 69,1.3,8445.0,1539.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12,west,Relatively New,,1538.0,,,0,0,0,1,0,2,94
flat,DLF New Town Heights,Sector 86,1.3,6735.0,1930.0,Super Built up area 1930(179.3 sq.m.),3,3,3,12,north,Moderately Old,,1930.0,,,0,1,0,0,0,2,165
flat,DLF The Skycourt,Sector 86,1.5,7776.0,1929.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1330 sq.ft. (123.56 sq.m.),3,3,1,15,south-east,Relatively New,,1929.0,1550.0,1330.0,0,0,0,0,0,0,159
flat,Tulip Violet,Sector 69,1.68,8358.0,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,2,north-west,Relatively New,,2010.0,,,0,0,0,1,0,0,112
flat,Tulip Violet,Sector 69,1.4,8871.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,11,north,Relatively New,,1578.0,,,0,0,0,1,0,0,126
flat,DLF The Skycourt,Sector 86,1.5,7894.0,1900.0,Super Built up area 1900(176.52 sq.m.),3,3,1,16,east,Relatively New,,1900.0,,,0,0,0,0,1,0,49
flat,Signature Global Solera,Sector 107,0.5,7751.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6,north-east,Relatively New,,,,645.0,0,0,0,0,1,0,49
flat,Signature Global Solera,Sector 107,0.36,5980.0,602.0,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2,2,1,7,north-west,Relatively New,,602.0,598.0,546.0,0,0,0,0,1,0,49
flat,Spaze Privy,Sector 72,3.1,6692.0,4632.0,Super Built up area 4632(430.33 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3+,8,south,Moderately Old,,4632.0,,2300.0,1,1,1,1,0,0,136
flat,ROF Ananda,Sector 95,0.31,5644.0,549.0,Carpet area: 549.16 (51.02 sq.m.),2,2,1,5,north,Relatively New,,,,549.17,0,0,0,1,0,2,74
flat,Sare Homes,Sector 92,0.71,5354.0,1326.0,Carpet area: 1326 (123.19 sq.m.),3,3,3,2,north-west,Relatively New,,,,1326.0,0,0,0,1,0,0,108
flat,Vatika Lifestyle Homes,Sector 83,1.15,8214.0,1400.0,Super Built up area 1832(170.2 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,1,7,south-west,Moderately Old,,1832.0,,1400.0,0,0,0,0,0,2,95
flat,Vatika Lifestyle Homes,Sector 83,1.05,7500.0,1400.0,Super Built up area 1755(163.04 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,2,2,1,south-west,Moderately Old,,1755.0,1600.0,1400.0,0,0,0,0,0,2,106
flat,Pioneer Park,Sector 61,2.1,11666.0,1800.0,Super Built up area 1800(167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,15,south-east,Relatively New,,1800.0,,1400.0,0,0,0,0,0,2,49
flat,Signature Global Solera,Sector 107,0.28,5828.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,0,north-east,Relatively New,,,,489.0,0,0,0,0,0,0,45
flat,Signature Global Solera,Sector 107,0.28,5674.0,493.0,Carpet area: 489 (45.43 sq.m.),2,2,2,11,north,Relatively New,,,,489.0,0,0,0,0,0,0,29
flat,Signature Global Solera,Sector 107,0.28,5623.0,498.0,Carpet area: 489 (45.43 sq.m.),2,2,2,14,north-west,Relatively New,,,,489.0,0,0,0,0,0,0,38
flat,Signature Global Solera,Sector 107,0.28,5725.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,10,south,Relatively New,,,,489.0,0,0,0,0,0,0,38
flat,Signature Global Grand Iva,Sector 103,0.24,6527.0,368.0,Carpet area: 360 (33.45 sq.m.),1,1,1,4,north-east,Relatively New,,,,360.0,0,0,0,0,0,0,23
flat,Signature Global Solera,Sector 107,0.36,6489.0,555.0,Carpet area: 547 (50.82 sq.m.),2,2,2,8,north-west,Relatively New,,,,547.0,0,0,0,0,0,0,45
flat,Signature Global Solera,Sector 107,0.51,7906.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,9,south,Relatively New,,,,645.0,0,0,0,0,1,0,15
flat,Signature Global Solera,Sector 107,0.35,6398.0,547.0,Carpet area: 547 (50.82 sq.m.),2,2,2,8,south,Relatively New,,,,547.0,0,0,0,0,0,0,45
flat,Signature Global Solera,Sector 107,0.28,5828.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,11,south,Relatively New,,,,489.0,0,0,0,0,0,0,45
flat,Signature Global Solera,Sector 107,0.36,6581.0,547.0,Carpet area: 547 (50.82 sq.m.),2,2,2,8,south-east,Relatively New,,,,547.0,0,0,0,0,0,0,45
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.0,12121.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,1,north-west,Relatively New,,,,1650.0,0,1,0,0,0,2,124
flat,BPTP Mansions Park Prime,Sector 66,2.7,9768.0,2764.0,Super Built up area 2764(256.78 sq.m.),4,4,3,6,na,Relatively New,,2764.0,,,0,1,0,0,1,0,13
flat,M Golfestate,Sector 65,4.94,16233.0,3043.0,Super Built up area 3043(282.7 sq.m.),3,4,3,15,north-east,Moderately Old,,3043.0,,,0,1,0,0,0,0,165
flat,Tulip Violet,Sector 69,1.75,8706.0,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,10,north-east,Relatively New,,2010.0,,,0,0,0,0,0,2,109
flat,Shree Vardhman Flora,Sector 90,1.25,4854.0,2575.0,Super Built up area 2575(239.23 sq.m.),4,5,2,8,south,Relatively New,,2575.0,,,1,1,0,0,0,0,165
flat,Shree Vardhman Flora,Sector 90,0.92,4906.0,1875.0,Super Built up area 1875(174.19 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,4,3,4,north-east,Relatively New,,1875.0,,1161.0,0,1,0,0,0,0,116
flat,Shree Vardhman Flora,Sector 90,1.3,5252.0,2475.0,Super Built up area 2475(229.94 sq.m.)Carpet area: 1825 sq.ft. (169.55 sq.m.),4,5,2,9,north-east,Relatively New,,2475.0,,1825.0,1,1,0,0,0,0,110
flat,Tulip Lemon,Sector 69,0.62,12863.0,482.0,Carpet area: 482 (44.78 sq.m.),2,2,1,4,north-east,Relatively New,,,,482.0,0,0,0,0,0,2,108
flat,Tulip Purple,Sector 69,1.92,8000.0,2400.0,Super Built up area 2400(222.97 sq.m.),4,5,3+,5,east,Relatively New,,2400.0,,,0,1,0,0,0,2,158
flat,The Lions Cghs,Sector 56,2.0,8333.0,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,4,3,8,west,Relatively New,,2400.0,,2100.0,0,0,0,0,1,2,49
flat,Tulip Ivory,Sector 70,2.0,8333.0,2400.0,Super Built up area 2400(222.97 sq.m.),4,5,3+,2,south-east,Relatively New,,2400.0,,,0,1,0,0,0,2,49
flat,Professional Society,Manesar,0.75,3067.0,2445.0,Carpet area: 2445 (227.15 sq.m.),3,4,3,3,east,Relatively New,,,,2445.0,0,1,0,0,0,0,21
flat,SS Residency Residency The Leaf,Sector 85,1.85,7682.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3,2,north,Relatively New,,2408.0,,,1,1,0,0,0,2,49
flat,Tarc Maceo,Sector 91,0.89,6339.0,1404.0,Super Built up area 1404(130.44 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,9,east,Relatively New,,1404.0,,1200.0,0,0,0,0,1,2,13
flat,Orris Aster Court Premier,Sector 85,1.25,5896.0,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,6,east,Relatively New,,2120.0,1616.0,,0,1,0,0,0,2,49
flat,Shapoorji Pallonji Joyville,Sector 102,2.15,12706.0,1692.0,Super Built up area 1692(157.19 sq.m.)Built Up area: 1690 sq.ft. (157.01 sq.m.)Carpet area: 1592 sq.ft. (147.9 sq.m.),3,3,3,10,south-west,Relatively New,,1692.0,1690.0,1592.0,0,0,0,0,0,2,49
flat,Ireo Victory Valley,Sector 67,3.05,12650.0,2411.0,Super Built up area 2411(223.99 sq.m.)Carpet area: 1688 sq.ft. (156.82 sq.m.),3,3,3+,21,south-west,Relatively New,,2411.0,,1688.0,0,1,0,0,0,2,157
flat,M Merlin,Sector 67,2.65,12945.0,2047.0,Super Built up area 2047(190.17 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,0,north-east,Relatively New,,2047.0,1900.0,1700.0,0,0,0,0,1,2,174
flat,Signature Global Synera,Sector 81,0.49,6666.0,735.0,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2,2,3,5,south,Relatively New,,735.0,700.0,635.0,0,0,0,0,0,0,117
flat,AIPL Zen Residences,Sector 70A,1.82,10996.0,1655.0,Super Built up area 1655(153.75 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,12,south,Relatively New,,1655.0,1600.0,1550.0,0,0,0,0,0,0,108
flat,Signature Global Synera,Sector 81,0.5,6802.0,735.0,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2,2,3,6,south,Relatively New,,735.0,700.0,635.0,0,0,0,0,0,0,117
flat,Umang Winter Hills,Sector 77,0.92,5049.0,1822.0,Super Built up area 1822(169.27 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,17,north-east,Relatively New,,1822.0,,1400.0,0,0,0,0,1,2,49
flat,Shree Vardhman Victoria,Sector 70,1.65,8461.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1267 sq.ft. (117.71 sq.m.),3,4,3,1,north,Relatively New,,1950.0,,1267.0,0,1,0,0,0,1,167
flat,Capital Residences,Sector 70A,1.1,7586.0,1450.0,Super Built up area 1450(134.71 sq.m.),2,2,2,10,south-east,Relatively New,,1450.0,,,1,0,0,0,0,0,42
flat,Capital Residences,Sector 70A,1.55,7844.0,1976.0,Super Built up area 1976(183.58 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,8,south,Relatively New,,1976.0,1600.0,1400.0,1,1,0,1,1,0,42
flat,BPTP Astaire Gardens,Sector 70A,1.25,8771.0,1425.0,Super Built up area 1425(132.39 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,2,1,south-east,Relatively New,,1425.0,1300.0,1200.0,0,0,0,0,1,0,49
flat,BPTP Astaire Gardens,Sector 70A,1.6,8658.0,1848.0,Super Built up area 1848(171.68 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),4,4,3,1,na,Relatively New,,1848.0,1600.0,1400.0,1,0,0,0,1,0,42
flat,Shree Vardhman Victoria,Sector 70,1.15,8518.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,8,south-east,Relatively New,,1350.0,,,1,0,0,0,1,0,49
flat,Shree Vardhman Victoria,Sector 70,1.6,8205.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,3,3,10,south,Relatively New,,1950.0,,1161.0,1,1,0,1,1,0,43
flat,Bestech Park View Grand Spa,Sector 81,4.0,9523.0,4200.0,Super Built up area 4200(390.19 sq.m.),4,5,3+,15,west,Relatively New,,4200.0,,,0,1,0,0,0,2,127
flat,Bestech Park View Grand Spa,Sector 81,2.22,8345.0,2660.0,Super Built up area 2660(247.12 sq.m.),3,4,3+,15,south-east,Relatively New,,2660.0,,,0,1,0,0,0,2,174
flat,Bestech Park View Grand Spa,Sector 81,3.0,9419.0,3185.0,Super Built up area 3185(295.9 sq.m.),4,5,2,6,south,Relatively New,,3185.0,,,0,1,0,0,0,2,110
flat,Vatika The Seven Lamps,Sector 82,1.0,5923.0,1688.0,Super Built up area 1435(133.32 sq.m.),2,2,2,11,south,Relatively New,,1435.0,,,1,0,0,0,0,2,90
flat,Pioneer Araya,Sector 62,10.75,19500.0,5513.0,Super Built up area 5514(512.27 sq.m.),5,7,3,10,north-east,Relatively New,,5514.0,,,0,1,0,0,0,2,153
flat,Pioneer Araya,Sector 62,9.14,19488.0,4690.0,Super Built up area 4690(435.72 sq.m.)Carpet area: 3258 sq.ft. (302.68 sq.m.),4,6,3,16,east,Relatively New,,4690.0,,3258.0,1,1,1,0,0,2,146
flat,Pioneer Araya,Sector 62,8.35,19513.0,4279.0,Super Built up area 4279(397.53 sq.m.),4,6,3,16,east,Relatively New,,4279.0,,,0,1,0,1,0,0,153
flat,Hsiidc Sidco Shivalik Apartments,Manesar,0.73,3560.0,2051.0,Super Built up area 2050(190.45 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,2,south,Moderately Old,,2050.0,,1400.0,0,1,0,0,0,0,80
flat,Imt View Society,Manesar,0.95,3653.0,2601.0,Super Built up area 2600(241.55 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3,6,south-east,Moderately Old,,2600.0,,1900.0,0,1,0,0,0,0,81
flat,Hsiidc Sidco Shivalik Apartments,Manesar,0.48,3840.0,1250.0,Super Built up area 1250(116.13 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),2,2,3,7,south,Moderately Old,,1250.0,,770.0,0,0,0,0,0,0,88
flat,Hsiidc Sidco Aravali,Manesar,0.86,3323.0,2588.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1877 sq.ft. (174.38 sq.m.),3,3,3+,3,south,Moderately Old,,2588.0,1900.0,1877.0,0,1,0,0,0,0,81
flat,Hsiidc Sidco Aravali,Manesar,0.81,3129.0,2589.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1877 sq.ft. (174.38 sq.m.),3,3,3+,2,south-west,Moderately Old,,2588.0,1900.0,1877.0,0,1,0,0,0,0,74
flat,M Merlin,Sector 67,2.9,14167.0,2047.0,Super Built up area 2047(190.17 sq.m.),3,3,3,0,west,Relatively New,,2047.0,,,0,0,0,0,1,2,49
flat,Signature Andour Heights,Sector 71,0.37,7400.0,500.0,Super Built up area 500(46.45 sq.m.)Built Up area: 425 sq.ft. (39.48 sq.m.)Carpet area: 366.48 sq.ft. (34.05 sq.m.),1,1,2,2,north-east,Relatively New,,500.0,425.0,366.51,0,0,0,0,0,2,37
flat,Signature Andour Heights,Sector 71,0.59,8428.0,700.0,Super Built up area 700(65.03 sq.m.)Built Up area: 639 sq.ft. (59.37 sq.m.)Carpet area: 540.89 sq.ft. (50.25 sq.m.),2,2,1,6,north-east,Moderately Old,,700.0,639.0,540.89,0,0,0,0,0,0,67
flat,Signature Andour Heights,Sector 71,0.6,10000.0,600.0,Super Built up area 600(55.74 sq.m.)Carpet area: 514 sq.ft. (47.75 sq.m.),2,2,1,5,south-west,Relatively New,,600.0,,514.0,0,0,0,1,0,0,59
flat,Signature Andour Heights,Sector 71,0.37,8222.0,450.0,Built Up area: 450 (41.81 sq.m.)Carpet area: 366.48 sq.ft. (34.05 sq.m.),1,1,2,2,north-east,Relatively New,,,450.0,366.51,0,0,0,0,0,0,65
flat,M Woodshire,Sector 107,0.9,6588.0,1366.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,4,na,Relatively New,,1366.0,,,0,0,0,0,0,0,21
flat,Shree Vardhman Victoria,Sector 70,1.66,14254.0,1165.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,8,north,Relatively New,,1950.0,,1161.0,0,1,0,0,0,0,108
flat,DLF New Town Heights,Sector 90,2.0,7334.0,2727.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,20,east,Moderately Old,,2727.0,,,0,1,0,0,1,0,49
flat,Shree Vardhman Victoria,Sector 70,1.67,14384.0,1161.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,5,north-east,Moderately Old,,1950.0,,1161.0,0,1,0,0,0,0,108
flat,Shree Vardhman Victoria,Sector 70,1.1,8461.0,1300.0,Carpet area: 1300 (120.77 sq.m.),2,2,2,8,north-east,Relatively New,,,,1300.0,0,0,0,0,0,0,101
flat,Shree Vardhman Victoria,Sector 70,1.6,8205.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,6,north,Relatively New,,1950.0,,1161.0,0,1,0,0,0,0,108
flat,Shree Vardhman Victoria,Sector 70,1.07,7925.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,8,north,Relatively New,,1350.0,,,1,0,0,0,0,0,108
flat,Tulip Violet,Sector 69,1.76,8756.0,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,6,north,Relatively New,,2010.0,,,0,0,0,0,0,0,108
flat,Tulip Violet,Sector 69,1.55,9822.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,5,north-east,Relatively New,,1578.0,,,0,0,0,1,0,0,99
flat,Krrish Provence Estate,Gwal Pahari,5.5,9482.0,5800.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,11,east,New Property,,5800.0,,,1,1,0,1,0,0,151
flat,Conscient Habitat,Sector 99A,0.27,5599.0,482.0,Carpet area: 484 (44.97 sq.m.),2,2,1,8,south-west,Relatively New,,,,484.0,0,0,0,0,1,0,49
flat,Prime Habitat,Sector 99A,0.26,4745.0,548.0,Carpet area: 550 (51.1 sq.m.),2,2,1,6,north-east,Relatively New,,,,550.0,0,0,0,0,1,0,79
flat,Shapoorji Pallonji Joyville,Sector 102,1.25,9876.0,1266.0,Super Built up area 1215(112.88 sq.m.),2,2,2,0,east,Relatively New,,1215.0,,,0,0,0,0,0,0,79
flat,Conscient Heritage Max,Sector 102,2.1,9772.0,2149.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,10,east,Relatively New,,2149.0,,,1,1,0,0,0,0,53
