property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,area_in_sq_ft,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Godrej Habitat,Sector 3,1.35,12784.0,1056.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2,2,0,4,north-east,Undefined,,,1056.0,912.0,0,0,0,0,0,0,60
flat,Ompee K S Residency,New Gurgaon,1.6,26936.0,594.0,Carpet area: 66 (55.18 sq.m.),2,2,2,1,na,Relatively New,,,,66.0,0,0,0,0,0,0,0
flat,Bhawna Cghs,Sector 43,3.25,10156.0,3200.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,12,na,Moderately Old,,3200.0,,3000.0,0,0,0,1,0,2,119
flat,Adani Aangan Arcade,Sector 88A,0.45,7194.0,626.0,Carpet area: 625.47 (58.11 sq.m.),2,2,1,8,na,New Property,,,,625.49,0,0,0,0,0,0,14
flat,Sare Green Parc,Sector 92,0.85,6538.0,1300.0,Built Up area: 1300 (120.77 sq.m.),3,2,2,20,na,Undefined,,,1300.0,,0,0,0,0,0,0,0
flat,Shree Vardhman Flora,Sector 90,0.75,5769.0,1300.0,Carpet area: 1300 (120.77 sq.m.),2,2,3,8,north-east,Undefined,,,,1300.0,0,0,0,0,0,0,60
flat,Supertech Hues,Sector 68,0.82,6950.0,1180.0,Super Built up area 1180(109.63 sq.m.),2,2,3+,21,na,Undefined,,1180.0,,,0,0,0,0,1,0,72
flat,Chintels Paradiso,Sector 109,1.8,8866.0,2030.0,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3,3,2,0,east,Moderately Old,,2030.0,,1785.0,0,1,0,0,0,0,83
flat,Breez Global Hill View,Sohna Road,0.3,5403.0,555.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,6,north-east,New Property,,655.0,,555.0,0,0,0,0,0,0,109
flat,ILD Greens,Sector 37C,0.78,5714.0,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1,north,Moderately Old,,1365.0,899.97,900.0,0,0,0,0,0,2,103
flat,Ansal Height Height Sushant Lok Ci,Sector 43,2.0,15151.0,1320.0,Carpet area: 1320 (122.63 sq.m.),3,3,2,1,north,Old,,,,1320.0,0,1,0,0,0,1,15
flat,Ashiana Mulberry,Sohna Road,0.74,6200.0,1194.0,Carpet area: 1210 (112.41 sq.m.),2,2,3+,12,north-west,New Property,,,,1210.0,0,0,0,0,0,0,67
flat,Godrej Meridien,Sector 106,3.2,16000.0,2000.0,Carpet area: 2002 (185.99 sq.m.),3,3,3+,6,na,Under Construction,,,,2002.0,0,1,0,0,0,0,49
flat,Mapsko Casa Bella,Sector 82,1.3,6378.0,2038.0,Super Built up area 1960(182.09 sq.m.),4,4,3+,1,north,Relatively New,,1960.0,,,0,1,0,0,0,0,130
flat,Pooja Apartment,Sector 3,0.25,3571.0,700.0,Carpet area: 700 (65.03 sq.m.),2,2,2,2,east,Relatively New,,,,700.0,0,0,0,0,0,0,0
flat,Signature Global Park,Sohna Road,0.95,7846.0,1211.0,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3,2,3+,1,na,Relatively New,,,756.59,756.59,0,0,0,0,0,0,46
flat,DLF New Town Heights,Sector 90,1.99,7297.0,2727.0,Carpet area: 2727 (253.35 sq.m.),4,4,3+,9,east,Relatively New,,,,2727.0,0,1,0,1,0,2,102
flat,Paras Dews,Sector 106,1.05,7581.0,1385.0,Carpet area: 1385 (128.67 sq.m.),2,2,2,5,west,New Property,,,,1385.0,0,0,0,0,0,0,97
flat,Godrej Air,Sector 85,1.83,10005.0,1829.0,Carpet area: 1829 (169.92 sq.m.),3,3,3+,18,na,New Property,,,,1829.0,0,0,0,0,0,0,110
flat,DLF The Primus,Sector 82A,2.25,10714.0,2100.0,Carpet area: 2100 (195.1 sq.m.),3,3,3+,29,east,Relatively New,,,,2100.0,0,1,0,0,0,1,72
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.8,16969.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3+,3,na,Relatively New,,,,1650.0,1,1,0,0,0,2,38
flat,DLF Regency Park,Sector 28,1.6,14545.0,1100.0,Carpet area: 1100 (102.19 sq.m.),2,2,2,3,north,Relatively New,,,,1100.0,0,0,0,0,0,0,52
flat,Supertech Araville,Sector 79,0.83,5424.0,1530.0,Carpet area: 1530 (142.14 sq.m.),2,2,3,5,north-east,New Property,,,,1530.0,1,0,0,0,0,1,49
flat,Signature Global Park,Sohna Road,0.83,7410.0,1120.0,Carpet area: 1120 (104.05 sq.m.),3,2,2,1,na,New Property,,,,1120.0,0,0,0,0,0,0,16
flat,Maxworth City Residences,Sector 10A,0.8,6400.0,1250.0,Carpet area: 1250 (116.13 sq.m.),2,3,2,9,na,New Property,,,,1250.0,0,0,0,0,0,0,46
flat,Deepak Minda,Manesar,1.25,4715.0,2651.0,Carpet area: 2651 (246.29 sq.m.),4,4,3+,6,na,Moderately Old,,,,2651.0,0,0,0,0,0,2,44
flat,Shree Shyam Residency,Block A Sector 21,0.23,5000.0,460.0,Carpet area: 460 (42.74 sq.m.),1,1,1,2,south,Relatively New,,,,460.0,0,0,0,0,0,0,9
flat,Pivotal Devaan,Sector 84,0.3,6666.0,450.0,Carpet area: 450 (41.81 sq.m.),1,1,1,14,na,New Property,,,,450.0,0,0,0,0,0,2,22
flat,Unitech The Residences,Sector 33,1.55,9872.0,1570.0,Super Built up area 1570(145.86 sq.m.),3,4,1,1,south,Relatively New,,1570.0,,,0,1,0,0,0,0,37
flat,CHD Avenue,Sector 71,0.79,6594.0,1198.0,Super Built up area 1198(111.3 sq.m.),2,2,2,8,south-east,Relatively New,,1198.0,,,0,0,0,0,1,0,0
flat,Silverglades The Melia,Sohna Road,1.01,7000.0,1443.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,12,na,New Property,,1450.0,,950.0,1,0,0,0,0,0,80
flat,Sare Crescent Parc Royal Greens Phase,Sector 92,0.95,5007.0,1897.0,Super Built up area 1897(176.24 sq.m.),4,5,3+,4,na,Moderately Old,,1897.0,,,0,1,0,0,0,0,37
flat,Umang Winter Hills,Sector 77,0.99,7857.0,1260.0,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,1,north,Relatively New,,1260.0,,1000.0,0,0,0,0,0,0,97
flat,Ramprastha Skyz,Sector 37D,1.1,6376.0,1725.0,Super Built up area 1725(160.26 sq.m.),3,3,3+,7,east,New Property,,1725.0,,,0,0,0,0,0,0,109
flat,Aradhya Homes,Sector 67A,1.9,8863.0,2144.0,Super Built up area 2200(204.39 sq.m.),4,4,3,3,na,New Property,,2200.0,,,0,0,0,0,0,2,62
flat,ILD Greens,Sector 37C,1.0,4320.0,2315.0,Super Built up area 1875(174.19 sq.m.),3,3,3+,5,north,Undefined,,1875.0,,,0,0,0,0,0,0,51
flat,BPTP Freedom Park Life,Sector 57,2.5,11111.0,2250.0,Super Built up area 2250(209.03 sq.m.),3,3,3,9,na,Moderately Old,,2250.0,,,0,0,0,0,0,0,55
flat,Godrej Habitat,Sector 3,1.1,10410.0,1057.0,Super Built up area 1056.58(98.16 sq.m.),2,2,2,14,na,New Property,,1056.58,,,0,0,0,0,0,0,60
flat,Ramsons Kshitij,Sector 95,0.29,5178.0,560.0,Super Built up area 560(52.03 sq.m.),2,2,2,14,na,Relatively New,,560.0,,,0,0,0,0,0,0,50
flat,Sidhartha Ncr One,Sector 95,0.55,5556.0,990.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15,north-east,Undefined,,,990.0,950.0,0,0,0,0,0,0,0
flat,Raheja Sampada,Sector 92,0.65,4744.0,1370.0,Super Built up area 1370(127.28 sq.m.),3,2,3,6,north-east,Relatively New,,1370.0,,,0,0,0,0,0,0,49
flat,Signature The Serenas,Sohna Road,0.5,9406.0,532.0,Carpet area: 531.57 (49.38 sq.m.),2,2,2,6,na,New Property,,,,531.52,0,0,0,0,0,0,37
flat,Pareena Laxmi Apartments,Sector 99A,0.32,5521.0,580.0,Super Built up area 575(53.42 sq.m.)Carpet area: 570.17 sq.ft. (52.97 sq.m.),2,2,1,2,na,New Property,,575.0,,570.16,0,0,0,0,0,0,43
flat,Satya The Hermitage,Sector 103,0.93,6404.0,1452.0,Carpet area: 1452 (134.9 sq.m.),2,3,3,3,east,Relatively New,,,,1452.0,0,1,0,0,0,2,90
flat,Smart World Gems,Sector 89,1.2,8432.0,1423.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,2,north-east,New Property,,,,1423.0,0,0,0,0,0,0,44
flat,GLS Arawali Homes,Sohna Road,0.3,4687.0,640.0,Carpet area: 640 (59.46 sq.m.),2,2,2,4,na,Relatively New,,,,640.0,0,0,0,0,0,0,42
flat,Signature Global Park,Sohna Road,0.56,6812.0,822.0,Carpet area: 822 (76.37 sq.m.),2,2,3,3,south,New Property,,,,822.0,0,0,0,0,0,0,111
flat,Bestech Park View City,Sector 49,2.7,12505.0,2159.0,Super Built up area 2159(200.58 sq.m.),3,4,3+,6,na,Moderately Old,,2159.0,,,0,0,0,0,0,0,0
flat,Shree Vardhman Flora,Sector 90,1.0,5128.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,4,3,8,north-east,New Property,,1950.0,,,0,1,0,0,0,0,95
flat,AFNHB Jalvayu Vihar,Sector 30,1.45,11153.0,1300.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),3,2,2,2,north,Old,,,1300.0,1090.0,0,0,0,0,0,1,75
flat,M Soulitude,Sector 89,1.25,8784.0,1423.0,Built Up area: 1423 (132.2 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),3,3,0,4,na,Undefined,,,1423.0,1190.0,0,0,0,0,0,0,0
flat,Pyramid Elite,Sector 86,0.46,79.0,58228.0,Carpet area: 58141 (5401.48 sq.m.),2,2,1,0,na,Undefined,,,,58141.0,0,0,0,0,0,0,15
flat,Emaar MGF Palm Terraces,Sector 66,4.5,10599.0,4246.0,Super Built up area 3670(340.95 sq.m.),5,5,3+,11,na,New Property,,3670.0,,,0,1,0,0,0,0,105
flat,Anamika Enclave,Sector 15 Part 1,0.64,6500.0,985.0,Super Built up area 1000(92.9 sq.m.),2,2,1,1,na,New Property,,1000.0,,,0,0,0,0,0,0,0
flat,HCBS Sports Ville,Sohna Road,0.28,3768.0,743.0,Built Up area: 743 (69.03 sq.m.)Carpet area: 643 sq.ft. (59.74 sq.m.),2,2,1,11,east,Relatively New,,,743.0,643.0,0,0,0,0,0,0,38
flat,Puri The Aravallis,Sector 61,3.87,17200.0,2250.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1249.65 sq.ft. (116.1 sq.m.),3,4,3+,21,east,Under Construction,,2250.0,,1249.69,0,1,0,0,0,0,58
flat,Brisk Lumbini Terrace Homes,Sector 109,1.38,6338.0,2177.0,Carpet area: 2177 (202.25 sq.m.),3,3,1,4,na,Moderately Old,,,,2177.0,0,0,0,0,0,0,20
flat,Huda Ashok Vihar Phase,Sector 4,0.43,6615.0,650.0,Carpet area: 650 (60.39 sq.m.),2,2,1,2,na,Relatively New,,,,650.0,0,0,0,0,0,0,7
flat,Independent,New Gurgaon,0.28,3166.0,884.0,Carpet area: 900 (83.61 sq.m.),2,1,1,2,na,Relatively New,,,,900.0,0,0,0,0,1,0,15
flat,Signature Global City,Sector 37D,1.1,9838.0,1118.0,Carpet area: 1118 (103.87 sq.m.),2,2,2,4,south,Undefined,,,,1118.0,0,0,0,0,0,0,59
flat,M Heights,Sector 65,2.0,13957.0,1433.0,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,32,na,Undefined,,,1433.0,1000.0,0,0,0,0,0,0,0
flat,Signature Global Park,Sohna Road,0.9,8035.0,1120.0,Super Built up area 1120(104.05 sq.m.),3,2,2,2,south,New Property,,1120.0,,,0,0,0,0,0,0,144
flat,Signature Global Park,Sohna Road,0.9,8036.0,1120.0,Built Up area: 1120 (104.05 sq.m.),3,2,0,2,na,New Property,,,1120.0,,0,0,0,0,0,0,58
flat,Godrej Nature Plus,Sector 33,1.75,8768.0,1996.0,Built Up area: 1996 (185.43 sq.m.),3,3,0,2,na,Undefined,,,1996.0,,0,0,0,0,0,0,56
flat,Supertech Hues,Sector 68,0.93,8611.0,1080.0,Carpet area: 1080 (100.34 sq.m.),2,2,2,11,na,Undefined,,,,1080.0,0,0,0,0,0,0,0
flat,DLF New Town Heights,Sector 90,1.8,6600.0,2727.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,23,na,Moderately Old,,2727.0,,,0,0,0,0,0,0,67
flat,Central Park Flower Valley Aqua Front Towers,Sector 33,2.1,11738.0,1789.0,Super Built up area 1789(166.2 sq.m.),3,3,2,6,na,Undefined,,1789.0,,,0,0,0,0,0,0,24
flat,Ambience Creacions,Sector 22,2.0,14492.0,1380.0,Carpet area: 1380 (128.21 sq.m.),2,2,2,9,east,Relatively New,,,,1380.0,0,0,0,0,0,0,49
flat,Signature Global City,Sector 63A,2.0,12800.0,1562.0,Built Up area: 1540 (143.07 sq.m.),3,3,2,1,north,New Property,,,1540.0,,0,0,0,0,0,0,36
flat,Godrej Oasis,Sector 88A,1.29,7800.0,1654.0,Super Built up area 1629(151.34 sq.m.)Carpet area: 1628 sq.ft. (151.25 sq.m.),3,3,3,5,na,New Property,,1629.0,,1628.0,1,0,0,0,1,0,65
flat,M Skycity,Sector 65,2.85,15590.0,1828.0,Super Built up area 1828(169.83 sq.m.),3,3,3,43,south,New Property,,1828.0,,,0,0,0,0,0,0,115
flat,Supertech Araville,Sector 79,1.1,5641.0,1950.0,Carpet area: 1950 (181.16 sq.m.),3,3,3,1,na,Relatively New,,,,1950.0,0,0,0,0,0,2,106
flat,Smart World Orchard,Sector 61,1.65,13750.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,1,na,New Property,,,,1200.0,1,0,0,0,0,0,16
flat,HCBS Sports Ville,Sohna Road,0.24,7407.0,324.0,Carpet area: 324 (30.1 sq.m.),1,1,2,1,north,New Property,,,,324.0,0,0,0,0,0,0,68
