sector,coordinates,latitude,longitude
Sector 90,"28.4085° N, 76.9369° E",28.4085,76.9369
Sector 91,"28.4014° N, 76.9225° E",28.4014,76.9225
Sector 92,"28.4079° N, 76.9153° E",28.4079,76.9153
Sector 93,"28.4153° N, 76.9326° E",28.4153,76.9326
Sector 94,"28.4223° N, 76.9312° E",28.4223,76.9312
Sector 95,"28.4172° N, 76.9081° E",28.4172,76.9081
Sector 96,"28.3966° N, 76.8735° E",28.3966,76.8735
Sector 97,"28.4086° N, 76.8793° E",28.4086,76.8793
Sector 98,"28.4192° N, 76.8995° E",28.4192,76.8995
Sector 99,"28.4640° N, 76.9614° E",28.464,76.9614
Sector 99A,"28.4561° N, 76.9542° E",28.4561,76.9542
Sector 100,"28.4613° N, 76.9708° E",28.4613,76.9708
Sector 101,"28.4672° N, 76.9801° E",28.4672,76.9801
Sector 102,"28.4750° N, 76.9715° E",28.475,76.9715
Sector 103,"28.4949° N, 76.9845° E",28.4949,76.9845
Sector 104,"28.4788° N, 76.9960° E",28.4788,76.996
Sector 105,"28.4952° N, 77.0114° E",28.4952,77.0114
Sector 106,"28.5007° N, 77.0003° E",28.5007,77.0003
Sector 107,"28.5052° N, 76.9729° E",28.5052,76.9729
Sector 108,"28.5134° N, 76.9830° E",28.5134,76.983
Sector 109,"28.5073° N, 77.0089° E",28.5073,77.0089
Sector 110,"28.5145° N, 77.0197° E",28.5145,77.0197
Sector 111,"28.5238° N, 77.0320° E",28.5238,77.032
Sector 112,"28.5189° N, 77.0183° E",28.5189,77.0183
Sector 113,"28.5287° N, 77.0233° E",28.5287,77.0233
Sector 114,"28.5334° N, 77.0118° E",28.5334,77.0118
Sector 115,"28.5385° N, 77.0061° E",28.5385,77.0061
Gwal Pahari,"28.4484° N, 77.0210° E",28.4484,77.021
Manesar,"28.3515° N, 76.9428° E",28.3515,76.9428
