property_type,sector,built_up_area,agepossession,bedroom,bathroom,study room,servant room,store room,balcony,furnishing_type,luxury_category,floor_category,price_in_cr
house,Sector 81,5480,Relatively New,4,4,0,1,1,1,Semi-furnished,Average,Low-rise,4.35
flat,Sector 69,1510,Relatively New,3,3,0,0,0,2,Semi-furnished,High,Basement/Ground Floor,1.68
flat,Sector 37C,1635,Relatively New,3,4,0,0,0,3,Semi-furnished,Medium,Mid-rise,1.2
house,Sector 5,2250,Old,6,2,1,1,0,3,Furnished,High,Low-rise,3.5
flat,Sector 50,1900,Moderately Old,3,3,0,0,0,3,Un-furnished,Average,Mid-rise,2.35
flat,Sector 109,1946,Relatively New,3,4,0,1,0,3+,Semi-furnished,Medium,Low-rise,1.75
flat,Sector 93,1350,Relatively New,3,4,0,0,0,2,Un-furnished,Medium,High-rise,1.45
flat,Sector 103,1603,Relatively New,2,3,0,1,0,3,Un-furnished,Medium,Low-rise,0.93
flat,Sector 53,2500,Relatively New,3,4,0,1,0,3+,Un-furnished,Average,Mid-rise,5.0
flat,Gwal Pahari,2000,Old,4,4,1,1,0,3+,Semi-furnished,Medium,Mid-rise,1.5
flat,Sector 89,802,New Property,2,2,1,0,0,2,Semi-furnished,Medium,Low-rise,0.95
house,Sector 38,1442,Relatively New,3,3,0,0,0,3,Semi-furnished,Low,Low-rise,3.5
flat,Sector 95,1247,New Property,2,2,1,0,0,2,Semi-furnished,Medium,High-rise,0.55
flat,Sector 85,1925,Relatively New,3,4,0,0,0,3,Semi-furnished,Average,Mid-rise,1.83
flat,Sector 11,1403,Old,3,2,0,0,0,0,Semi-furnished,Low,Basement/Ground Floor,0.8
flat,Sector 68,1127,New Property,2,2,0,0,0,3,Semi-furnished,Average,Mid-rise,0.92
house,Sector 26,1783,Relatively New,5,2,0,1,0,3,Semi-furnished,Low,Low-rise,7.0
flat,Sector 79,2147,Relatively New,3,1,0,0,0,3,Semi-furnished,Low,Mid-rise,1.35
flat,Sector 109,1994,Relatively New,3,3,0,0,0,3+,Semi-furnished,High,High-rise,1.8
flat,Sector 110,3077,Relatively New,4,2,0,1,0,3,Semi-furnished,High,Mid-rise,3.7
flat,Sector 33,820,New Property,2,2,0,0,0,2,Semi-furnished,Medium,Mid-rise,1.31
house,Sector 11,1035,Relatively New,3,2,0,0,0,3,Semi-furnished,Average,Low-rise,0.44
house,Sector 67,2781,Moderately Old,4,4,0,0,0,2,Semi-furnished,Low,Low-rise,3.0
flat,Sector 65,1519,Relatively New,3,3,1,1,0,3,Un-furnished,Medium,Low-rise,2.36
flat,Sector 86,1690,New Property,3,3,0,0,0,2,Semi-furnished,Low,High-rise,0.9
house,Sector 31,1452,Old,4,4,0,0,1,3,Un-furnished,Medium,Low-rise,3.5
flat,Sector 79,2047,Relatively New,3,4,0,1,0,3+,Semi-furnished,High,Mid-rise,1.93
flat,Sector 3,1000,Old,3,3,0,0,0,1,Semi-furnished,Low,Basement/Ground Floor,0.8
flat,Sector 95,558,Relatively New,2,2,0,0,0,1,Un-furnished,Average,High-rise,0.32
flat,Sector 76,1628,New Property,3,3,0,0,0,2,Semi-furnished,Medium,Low-rise,1.92
flat,Sector 104,2851,Relatively New,4,4,0,1,0,3+,Semi-furnished,Medium,High-rise,2.6
flat,Sector 102,1456,Relatively New,3,3,0,0,1,3+,Semi-furnished,Medium,Low-rise,2.0
flat,Sector 65,1654,New Property,3,3,0,0,0,3,Semi-furnished,Medium,Skyscraper,2.85
flat,Sector 65,1650,Relatively New,3,1,1,1,0,2,Semi-furnished,High,Mid-rise,2.35
flat,Sector 103,1678,Relatively New,3,3,1,0,0,3+,Semi-furnished,Average,High-rise,1.65
flat,Sector 39,2594,Old,4,3,0,1,0,3,Furnished,Average,High-rise,1.5
flat,Sector 37D,580,New Property,2,2,0,0,0,3,Semi-furnished,Medium,Mid-rise,0.68
flat,Sector 111,2986,Relatively New,4,2,0,1,0,3+,Furnished,High,Mid-rise,3.9
flat,Sector 85,1376,Relatively New,2,2,0,0,1,3+,Semi-furnished,High,High-rise,1.15
flat,Sector 92,302,Relatively New,1,1,0,0,0,1,Semi-furnished,Medium,Basement/Ground Floor,0.21
flat,Sector 81,417,Relatively New,1,1,0,0,0,1,Furnished,Medium,High-rise,0.31
flat,Sector 2,1435,Old,2,3,1,0,0,2,Un-furnished,Low,Low-rise,0.95
house,Sector 43,1939,Relatively New,3,3,0,1,0,3,Un-furnished,Average,Low-rise,5.8
flat,Sector 37D,1983,Relatively New,3,3,0,1,0,3+,Semi-furnished,Average,High-rise,1.72
flat,Sector 56,605,Old,1,1,0,0,0,1,Semi-furnished,Medium,Low-rise,0.58
flat,Sector 54,1697,Relatively New,3,4,0,1,0,3+,Un-furnished,Average,Mid-rise,4.86
flat,Sector 70,2107,Moderately Old,4,2,0,1,0,3+,Un-furnished,Medium,Mid-rise,2.0
flat,Sector 95,380,New Property,1,1,0,0,0,1,Semi-furnished,Low,Mid-rise,0.25
house,Sector 7,1575,Old,4,2,0,0,0,3,Semi-furnished,Average,Low-rise,1.75
house,Sector 8,585,Moderately Old,2,2,0,0,0,1,Semi-furnished,Low,Low-rise,0.59
house,Sector 3,1162,Moderately Old,2,2,0,0,0,3,Semi-furnished,Low,Low-rise,0.75
house,Sector 105,1125,Moderately Old,3,3,0,0,0,3,Semi-furnished,Low,Low-rise,1.3
flat,Sector 90,1489,Relatively New,3,1,0,1,0,3,Semi-furnished,Medium,Mid-rise,0.92
house,Sector 28,5000,Moderately Old,5,2,0,0,0,1,Semi-furnished,Low,Mid-rise,8.95
flat,Sector 33,1253,New Property,2,2,0,0,0,2,Semi-furnished,Medium,High-rise,1.07
flat,Sector 43,5000,Moderately Old,4,2,0,1,0,3,Furnished,Medium,Mid-rise,8.44
flat,Sector 92,1464,Relatively New,3,2,0,0,0,2,Furnished,Average,High-rise,0.66
