property_type,sector,built_up_area,agepossession,bedroom,bathroom,study room,servant room,store room,balcony,furnishing_type,luxury_category,floor_category,price_in_cr
house,Sector 15,4527,Old,5,2,0,0,0,1,Semi-furnished,Average,Low-rise,10.0
flat,Sector 109,1550,Relatively New,3,3,0,0,0,3,Semi-furnished,Medium,Skyscraper,1.7
flat,Sector 76,1513,New Property,3,3,0,0,0,2,Semi-furnished,Medium,Basement/Ground Floor,1.9
flat,Sector 92,1000,Relatively New,2,2,0,0,0,3,Semi-furnished,Low,Low-rise,0.5
flat,Sector 104,1538,Relatively New,2,3,0,1,0,3,Semi-furnished,Medium,High-rise,1.58
house,Sector 14,3256,Moderately Old,3,3,0,0,0,1,Semi-furnished,Low,Mid-rise,5.51
flat,Sector 109,1550,Moderately Old,3,3,0,0,0,3,Semi-furnished,Average,Skyscraper,1.7
flat,Sector 73,1435,New Property,2,2,0,0,0,2,Semi-furnished,Low,High-rise,1.0
flat,Sector 77,1600,Relatively New,3,2,0,1,0,3,Un-furnished,Medium,Low-rise,1.25
flat,Sector 112,3500,Relatively New,4,2,0,1,0,3+,Un-furnished,High,High-rise,5.2
house,Sector 33,1210,New Property,2,2,1,0,0,3,Furnished,Medium,Mid-rise,1.35
house,Sector 26,1804,New Property,3,1,0,1,0,3,Un-furnished,Medium,Mid-rise,8.25
flat,Sector 61,1799,New Property,3,3,0,0,0,2,Semi-furnished,Low,Low-rise,2.2
flat,Sector 7,883,New Property,3,2,0,0,0,1,Semi-furnished,Low,Low-rise,0.48
flat,Gwal Pahari,5430,Relatively New,4,4,0,1,0,3+,Semi-furnished,Average,Mid-rise,7.0
flat,Sector 63,3077,New Property,3,3,0,0,0,3+,Semi-furnished,Medium,Low-rise,3.4
flat,Sector 85,2020,Relatively New,3,4,0,1,0,3,Semi-furnished,High,Mid-rise,2.0
flat,Sector 85,1575,Moderately Old,4,4,0,0,0,3,Un-furnished,Average,Mid-rise,0.9
flat,Sector 54,2250,Moderately Old,3,3,1,0,0,3+,Un-furnished,Medium,Low-rise,1.59
house,Sector 109,2435,Relatively New,5,2,0,1,0,2,Semi-furnished,Medium,Low-rise,6.2
house,Sector 33,7000,Old,4,4,1,1,1,1,Semi-furnished,Medium,Low-rise,8.0
flat,Sector 90,1630,Relatively New,3,3,0,0,0,3,Un-furnished,Medium,High-rise,1.17
flat,Sector 49,3724,Moderately Old,5,2,1,1,0,3+,Semi-furnished,Average,High-rise,4.52
house,Sohna Road,317,Relatively New,1,1,0,0,0,2,Semi-furnished,Low,Low-rise,0.08
flat,Sushant Lok,2650,Old,4,3,0,0,0,3,Semi-furnished,Average,Mid-rise,3.2
flat,Dwarka Expressway,1529,New Property,3,3,0,0,0,3,Semi-furnished,Average,Low-rise,1.6
flat,Sector 61,1710,New Property,3,1,0,0,0,2,Semi-furnished,High,Mid-rise,2.2
flat,Sector 60,2596,Relatively New,4,2,0,1,0,3,Un-furnished,Average,Skyscraper,3.6
flat,Sector 79,1172,Relatively New,2,2,0,0,0,3+,Semi-furnished,Low,High-rise,0.78
flat,Sector 68,980,Relatively New,2,2,0,0,0,3,Furnished,Medium,Low-rise,1.2
flat,Sector 85,1173,Relatively New,2,2,1,0,0,3,Semi-furnished,Medium,High-rise,1.1
flat,Sector 69,2171,Relatively New,4,4,0,0,0,1,Semi-furnished,Medium,High-rise,2.0
flat,Sector 47,1888,Moderately Old,3,3,0,1,0,3+,Un-furnished,Medium,High-rise,2.4
flat,Sector 81,568,Relatively New,2,2,0,0,0,1,Un-furnished,Medium,Mid-rise,0.48
flat,Sector 88A,2042,Relatively New,3,3,0,0,0,2,Semi-furnished,Average,Low-rise,1.5
flat,Sector 107,1554,Relatively New,3,1,0,0,0,3+,Un-furnished,High,Mid-rise,1.3
flat,Sector 22,2796,New Property,3,2,0,1,0,3+,Semi-furnished,Medium,Mid-rise,4.63
flat,Sector 61,1402,New Property,3,3,0,0,0,2,Semi-furnished,Medium,Low-rise,2.24
house,Sector 7,1443,Old,2,2,0,0,0,3,Semi-furnished,Low,Low-rise,1.95
house,Sector 45,3247,Moderately Old,5,4,0,1,0,1,Un-furnished,Average,Low-rise,8.5
flat,Sector 69,1222,Relatively New,2,3,0,0,0,1,Semi-furnished,High,Basement/Ground Floor,1.2
house,Sector 109,2435,Relatively New,5,2,0,1,1,2,Un-furnished,Medium,Low-rise,6.15
flat,Sector 85,1370,Relatively New,3,3,0,0,0,3,Semi-furnished,Average,Skyscraper,1.8
flat,Sector 21,2172,Moderately Old,5,4,0,0,0,2,Semi-furnished,Low,Low-rise,1.4
house,Sector 4,450,Moderately Old,1,1,0,0,0,1,Semi-furnished,Low,Low-rise,0.4
flat,Sector 108,1460,Relatively New,3,3,0,0,0,3,Semi-furnished,Average,High-rise,2.45
house,Surat Nagar Phase 2,459,Moderately Old,2,2,0,0,0,1,Semi-furnished,Low,Low-rise,0.36
house,Sector 50,4000,Moderately Old,4,2,1,1,0,2,Un-furnished,Medium,Low-rise,10.45
flat,Sohna Road,1350,Moderately Old,2,2,0,0,0,2,Semi-furnished,Medium,Mid-rise,0.75
flat,Sector 83,1154,Relatively New,2,2,0,0,0,2,Semi-furnished,High,High-rise,0.83
house,Sector 11,2706,Relatively New,2,1,0,0,0,2,Semi-furnished,Low,Low-rise,1.2
flat,Sector 67,2100,Relatively New,3,4,0,1,0,3,Un-furnished,Low,High-rise,3.39
flat,Sector 83,2000,Relatively New,4,4,1,1,0,3,Semi-furnished,Medium,Mid-rise,1.42
house,Sector 37D,1535,New Property,1,1,0,0,0,3,Semi-furnished,Low,Low-rise,1.16
flat,Sector 66,1900,Relatively New,4,2,0,1,0,3+,Un-furnished,Average,High-rise,3.0
flat,Sector 81,1348,Relatively New,3,2,0,0,0,3+,Semi-furnished,Medium,High-rise,1.15
flat,Sector 102,1757,Relatively New,3,4,0,1,0,3+,Semi-furnished,Medium,High-rise,1.82
house,Sector 48,3197,Relatively New,4,4,1,1,1,1,Un-furnished,Medium,Low-rise,7.25
house,Sector 33,4941,New Property,5,2,1,1,0,1,Semi-furnished,Low,Mid-rise,10.0
flat,Samaspur,1159,Relatively New,2,2,0,0,0,0,Semi-furnished,Average,Mid-rise,0.55
flat,Sector 6,790,Relatively New,2,2,0,0,0,0,Un-furnished,Low,Low-rise,0.6
flat,Sector 60,1640,Relatively New,3,4,0,1,0,3+,Un-furnished,High,Mid-rise,2.85
flat,Sector 91,2561,Relatively New,3,3,0,0,0,3+,Furnished,Average,Basement/Ground Floor,1.8
flat,Sector 37D,1185,Relatively New,3,3,0,0,0,2,Furnished,Average,High-rise,0.9
flat,Sector 69,1301,Relatively New,3,3,0,0,0,2,Semi-furnished,Medium,Low-rise,1.43
house,Sector 39,800,Relatively New,1,1,0,0,0,1,Semi-furnished,Low,Low-rise,1.8
flat,Sector 51,648,Moderately Old,1,1,1,0,0,0,Semi-furnished,Low,Basement/Ground Floor,0.3
flat,Sector 89,1103,New Property,3,1,0,0,0,0,Semi-furnished,Average,Basement/Ground Floor,1.1
flat,Sector 33,1619,New Property,3,3,0,0,0,3,Semi-furnished,Low,High-rise,1.7
flat,Sector 107,1236,Relatively New,2,2,0,0,0,3+,Semi-furnished,Medium,Mid-rise,0.82
flat,Sector 70A,1600,Relatively New,3,3,1,1,0,3,Semi-furnished,Average,Mid-rise,1.55
flat,Sector 65,1078,Relatively New,3,3,0,1,0,3,Un-furnished,Medium,High-rise,1.75
flat,Sector 63A,2153,New Property,3,1,0,0,0,3,Semi-furnished,Average,Mid-rise,3.15
flat,Sector 28,1777,Moderately Old,3,3,0,1,0,3,Semi-furnished,Medium,Mid-rise,2.3
house,Sector 66,3247,Relatively New,4,4,1,1,1,1,Un-furnished,High,Low-rise,12.0
flat,Sector 82,1150,Moderately Old,2,2,0,0,0,3,Semi-furnished,Average,Low-rise,0.67
house,Sector 5,945,Moderately Old,2,2,0,0,1,1,Un-furnished,Low,Low-rise,0.96
flat,Sector 65,1141,Relatively New,2,2,0,0,0,3,Un-furnished,Average,Skyscraper,2.33
flat,Sector 1,2081,Relatively New,3,1,0,1,0,3+,Semi-furnished,Low,Mid-rise,0.85
house,Sector 2,594,Old,3,3,0,0,0,1,Un-furnished,Average,Low-rise,1.15
house,Sector 50,3240,Moderately Old,5,2,0,0,0,1,Semi-furnished,Low,Low-rise,11.5
house,Sector 92,959,Relatively New,2,2,0,0,0,1,Semi-furnished,Medium,Low-rise,0.75
flat,Sector 78,1853,Moderately Old,3,3,0,0,0,3,Semi-furnished,Low,Mid-rise,1.05
flat,Sector 77,1600,New Property,3,4,0,1,0,3+,Un-furnished,Medium,High-rise,2.1
flat,Sector 104,2501,Relatively New,4,4,0,1,0,3+,Semi-furnished,High,Skyscraper,2.55
house,Sector 31,1560,Moderately Old,4,4,1,1,0,3,Un-furnished,Medium,Low-rise,3.69
house,Sector 56,1506,Relatively New,4,4,0,0,0,3,Un-furnished,Low,Low-rise,4.0
flat,Sector 25,5740,Old,5,2,1,1,0,3+,Furnished,Low,Low-rise,8.0
house,Sector 2,900,Moderately Old,1,1,0,0,0,1,Semi-furnished,Low,Low-rise,0.7
flat,Sector 43,1674,Old,3,2,1,0,0,3,Semi-furnished,Low,Mid-rise,2.5
house,Sector 26,4509,Relatively New,5,3,0,1,0,1,Furnished,Medium,Low-rise,20.0
flat,Sector 69,1428,Relatively New,3,3,0,0,0,2,Semi-furnished,Average,Basement/Ground Floor,1.7
house,Sector 47,1808,Moderately Old,3,1,0,0,0,3,Furnished,Average,Mid-rise,6.09
flat,Sector 77,1214,New Property,2,2,0,0,0,2,Un-furnished,Medium,High-rise,0.86
house,Sector 69,1804,New Property,4,3,0,0,0,3,Furnished,Medium,Low-rise,2.95
flat,Sector 78,1668,Moderately Old,3,4,0,1,0,3,Semi-furnished,Medium,Mid-rise,0.88
flat,Sector 60,1520,Relatively New,2,3,0,0,1,2,Un-furnished,High,Low-rise,2.05
house,Sector 26,1353,Old,5,2,0,0,0,3,Semi-furnished,Low,Low-rise,4.5
house,Sector 56,1461,Relatively New,2,2,0,0,0,3,Semi-furnished,Low,Low-rise,2.95
house,Sector 110,500,Relatively New,1,1,0,0,0,1,Semi-furnished,Low,Low-rise,0.34
flat,Sector 53,3000,Relatively New,4,2,1,1,0,3+,Un-furnished,High,High-rise,6.5
flat,Sector 81,1387,Moderately Old,2,2,0,0,0,2,Semi-furnished,Average,Mid-rise,0.75
flat,Sector 71,639,Relatively New,2,2,0,0,0,1,Un-furnished,Low,High-rise,0.65
flat,Sector 82,1832,Relatively New,3,3,0,1,1,3+,Un-furnished,High,Low-rise,1.16
flat,Sector 90,1765,Relatively New,3,1,0,1,0,3,Semi-furnished,High,Mid-rise,0.9
flat,Sector 77,1577,New Property,3,4,0,1,0,3+,Un-furnished,Average,Mid-rise,1.9
flat,Sector 92,1298,New Property,3,2,0,0,0,2,Semi-furnished,Medium,Low-rise,0.75
flat,Sector 104,333,Relatively New,1,1,0,0,0,2,Semi-furnished,Medium,Basement/Ground Floor,0.26
flat,Sector 48,1521,Relatively New,3,4,1,0,0,2,Semi-furnished,Average,Mid-rise,1.78
house,Sector 61,1549,New Property,3,1,0,0,0,3,Semi-furnished,Medium,Mid-rise,2.01
house,Sector 50,2155,Moderately Old,5,4,1,0,1,3,Un-furnished,Medium,Low-rise,7.1
flat,Gwal Pahari,1430,New Property,3,1,0,0,0,3,Semi-furnished,Average,Mid-rise,1.45
flat,Sector 68,1365,New Property,3,2,0,0,0,3+,Semi-furnished,Low,Mid-rise,1.45
flat,Sohna Road,1336,Relatively New,3,3,0,0,0,3,Semi-furnished,High,Low-rise,0.78
flat,Sector 56,1800,Old,3,3,0,1,0,3+,Semi-furnished,High,Mid-rise,1.55
flat,Sector 92,1891,New Property,4,4,0,1,0,2,Semi-furnished,Medium,High-rise,1.08
flat,Sector 2,650,Moderately Old,1,1,0,0,0,2,Semi-furnished,Average,Mid-rise,0.55
flat,Sector 83,1300,Relatively New,2,2,0,0,0,3,Un-furnished,Medium,Mid-rise,0.98
flat,Sector 9A,1993,Old,4,3,0,1,0,3,Un-furnished,Low,Low-rise,1.25
flat,Sector 3,900,Old,2,2,0,0,0,2,Semi-furnished,Medium,Low-rise,0.58
house,Sector 45,2480,Old,6,4,1,1,1,2,Un-furnished,Medium,Low-rise,7.35
flat,Manesar,2925,Moderately Old,3,3,0,1,0,3+,Semi-furnished,Average,Mid-rise,1.25
flat,Sector 72,3846,Relatively New,4,4,1,1,0,3+,Semi-furnished,Medium,Basement/Ground Floor,6.5
flat,Sector 92,1895,Moderately Old,4,2,0,0,0,3+,Un-furnished,Medium,High-rise,0.92
flat,Sector 63,3950,New Property,4,4,0,0,0,0,Semi-furnished,Medium,Skyscraper,8.5
flat,Sector 69,1428,Relatively New,3,3,0,0,0,2,Un-furnished,High,Basement/Ground Floor,1.46
flat,Sector 104,1259,Relatively New,2,2,0,0,0,0,Semi-furnished,Low,High-rise,0.9
flat,Sector 83,1400,Relatively New,3,1,0,1,0,3,Un-furnished,High,Mid-rise,1.55
flat,Sector 76,735,New Property,2,2,0,0,0,2,Semi-furnished,Low,High-rise,0.75
flat,Sector 85,2600,Relatively New,4,4,0,0,0,3,Semi-furnished,Average,Low-rise,2.13
flat,Sector 90,2005,Relatively New,4,4,0,0,0,3+,Semi-furnished,Low,Low-rise,1.75
flat,Sector 108,4600,Relatively New,3,4,1,0,0,3+,Semi-furnished,Low,High-rise,2.15
flat,Sector 70A,1950,New Property,3,1,0,1,0,3+,Semi-furnished,Medium,Mid-rise,1.64
house,Sector 11,2700,Relatively New,6,4,0,0,0,2,Semi-furnished,Low,Low-rise,3.08
flat,Sector 82A,650,Relatively New,1,1,0,0,0,0,Semi-furnished,Low,Mid-rise,0.62
flat,Sector 99,3041,New Property,4,4,0,1,0,3+,Semi-furnished,Medium,Low-rise,3.25
flat,Sector 102,828,Relatively New,2,2,0,0,0,2,Semi-furnished,Medium,High-rise,0.96
flat,Sector 65,2180,Relatively New,4,4,1,1,0,3+,Furnished,High,Low-rise,2.79
flat,Sohna Road,505,Relatively New,2,2,0,0,0,3,Semi-furnished,Average,Mid-rise,0.4
flat,Sector 95,808,New Property,3,2,1,0,0,2,Un-furnished,Medium,High-rise,0.55
house,Sector 2,1125,Moderately Old,2,2,0,0,1,3,Semi-furnished,Low,Low-rise,0.65
flat,Sector 104,2217,Relatively New,3,3,0,1,0,3+,Un-furnished,Medium,High-rise,2.49
flat,Sector 65,1545,New Property,3,3,0,0,1,3+,Un-furnished,Medium,Low-rise,1.95
house,Sector 11,1800,Old,4,3,1,0,0,3,Semi-furnished,Low,Low-rise,2.2
house,Sector 26,3247,Moderately Old,4,2,1,1,0,1,Un-furnished,Medium,Low-rise,12.5
flat,Sector 66,2501,Relatively New,4,4,0,1,0,3,Semi-furnished,Low,Mid-rise,2.7
house,Sector 86,484,Relatively New,5,3,0,0,0,1,Semi-furnished,Low,Low-rise,0.42
flat,Sector 48,1700,Old,3,3,0,0,0,3,Un-furnished,Medium,High-rise,1.6
flat,Sohna Road,1144,Relatively New,2,2,0,0,0,2,Semi-furnished,Medium,Low-rise,0.78
flat,Sector 113,1076,Relatively New,2,2,0,0,0,2,Semi-furnished,Medium,Mid-rise,1.45
house,Sector 49,1704,Old,3,3,0,0,0,3,Un-furnished,Low,Low-rise,3.75
house,Sector 4,603,Moderately Old,4,1,0,0,0,1,Semi-furnished,Low,Mid-rise,0.92
flat,Sector 85,1512,Relatively New,2,2,0,0,1,3+,Semi-furnished,Medium,Mid-rise,1.05
flat,Sector 86,2521,New Property,4,2,0,1,0,2,Semi-furnished,Medium,High-rise,1.3
flat,Sector 99,587,New Property,2,1,0,0,0,2,Semi-furnished,Low,Mid-rise,0.5
flat,Sector 107,1758,Relatively New,3,3,0,0,0,3,Semi-furnished,Medium,High-rise,1.32
flat,Sohna Road,784,Relatively New,2,2,0,0,0,2,Furnished,Average,Mid-rise,0.45
house,Sector 50,5850,Relatively New,5,3,1,1,0,1,Un-furnished,High,Low-rise,12.25
flat,Sector 2,1738,Moderately Old,3,4,0,1,0,3+,Semi-furnished,Medium,High-rise,1.55
house,Sector 6,1082,New Property,5,2,0,0,0,3,Semi-furnished,Low,Low-rise,1.25
flat,Sector 37D,2091,Relatively New,4,4,0,0,0,3,Un-furnished,Medium,High-rise,1.67
flat,Sector 112,3655,Relatively New,4,2,0,1,0,3+,Un-furnished,High,Mid-rise,5.6
flat,Sector 90,626,New Property,2,2,0,0,0,1,Semi-furnished,Low,Mid-rise,0.4
flat,Sector 92,1415,Relatively New,3,3,0,0,0,3,Un-furnished,Average,Low-rise,0.75
flat,Sector 61,1269,New Property,2,2,0,0,0,2,Semi-furnished,Low,Mid-rise,1.7
flat,Sector 60,2534,Relatively New,4,2,0,1,0,3,Un-furnished,High,High-rise,3.7
flat,Sector 102,1311,Relatively New,3,3,0,1,0,3,Un-furnished,Medium,Mid-rise,1.52
flat,Sector 81,1848,Relatively New,3,4,0,1,0,3+,Furnished,High,High-rise,2.3
house,Sector 49,3427,Old,5,4,1,1,1,1,Semi-furnished,Medium,Low-rise,6.75
flat,Sector 48,1600,Old,3,3,0,0,0,3,Un-furnished,Medium,Low-rise,1.5
flat,Sector 102,1748,Moderately Old,3,4,0,1,0,3+,Semi-furnished,Medium,Mid-rise,1.78
flat,Sector 49,1633,Old,3,3,0,0,0,3,Un-furnished,Medium,Low-rise,1.95
flat,Manesar,2594,Relatively New,4,2,1,1,0,3+,Semi-furnished,Average,Mid-rise,1.6
house,Sector 50,3247,Moderately Old,5,3,1,1,0,1,Un-furnished,High,Low-rise,10.45
flat,Sector 93,536,Relatively New,2,2,0,0,0,2,Semi-furnished,Low,Mid-rise,0.36
flat,Sector 92,706,Relatively New,3,3,0,0,0,1,Semi-furnished,Low,Low-rise,0.42
house,Sector 37D,1900,Relatively New,5,2,0,0,0,3,Semi-furnished,Low,Low-rise,2.5
flat,Sector 50,2491,Moderately Old,3,3,0,1,0,3+,Semi-furnished,High,Low-rise,2.65
flat,Sector 84,1086,Relatively New,2,2,0,0,0,2,Semi-furnished,Average,High-rise,0.6
house,Sector 3,1172,Old,4,2,0,0,0,3,Semi-furnished,Low,Low-rise,0.75
flat,Sector 54,1697,Relatively New,3,4,0,1,0,3+,Un-furnished,Low,Skyscraper,4.85
flat,Sector 70A,1946,Relatively New,3,3,0,1,0,3,Semi-furnished,Medium,High-rise,2.4
house,Sector 89,1297,New Property,2,2,0,0,0,3,Semi-furnished,Low,High-rise,0.7
house,Sector 12,2052,Old,5,2,0,0,0,3,Semi-furnished,Average,Low-rise,1.35
flat,Sector 91,1781,Relatively New,3,4,1,1,0,3+,Semi-furnished,Medium,Low-rise,1.5
flat,Sohna Road,482,Relatively New,2,2,0,0,0,1,Semi-furnished,Medium,Mid-rise,0.26
flat,Sector 95,950,New Property,2,2,0,0,0,1,Semi-furnished,Low,High-rise,0.3
flat,Sector 2,1281,Moderately Old,2,2,0,0,0,3,Un-furnished,Medium,Low-rise,0.95
flat,Sector 54,1700,Moderately Old,3,1,0,0,0,3+,Un-furnished,Medium,Mid-rise,1.5
flat,Sector 69,1819,Relatively New,4,4,0,0,0,2,Semi-furnished,Medium,Mid-rise,1.76
flat,Sector 49,2157,Moderately Old,4,4,0,1,0,3+,Semi-furnished,Medium,Mid-rise,2.9
flat,Sector 84,1750,Relatively New,3,3,0,0,0,3,Semi-furnished,Medium,Mid-rise,1.35
flat,Sector 85,1486,Relatively New,2,2,0,0,1,3+,Semi-furnished,Medium,Mid-rise,1.2
flat,Sector 61,1523,Relatively New,2,2,0,1,0,2,Semi-furnished,Medium,Skyscraper,1.6
flat,Sector 90,1525,Relatively New,3,4,0,1,0,3,Un-furnished,Medium,Basement/Ground Floor,0.86
flat,Sector 85,1922,Relatively New,2,2,0,0,0,2,Un-furnished,Average,High-rise,1.25
flat,Sector 86,601,Relatively New,2,2,0,0,0,1,Semi-furnished,Average,Low-rise,0.5
flat,Sector 56,1450,Old,3,1,0,0,0,3+,Un-furnished,High,Mid-rise,1.35
flat,Sector 59,4226,Relatively New,4,4,1,1,1,3+,Un-furnished,High,High-rise,5.0
flat,Sector 89,1217,New Property,2,2,0,0,1,2,Semi-furnished,Medium,Low-rise,1.1
flat,Sector 106,2131,Relatively New,4,2,0,1,0,3+,Semi-furnished,Medium,High-rise,1.42
flat,Sector 51,1762,Moderately Old,3,4,0,0,1,3,Semi-furnished,Medium,Low-rise,1.7
flat,Manesar,991,Moderately Old,2,2,0,0,0,3,Semi-furnished,Medium,Mid-rise,0.48
house,Sector 4,2255,Old,3,3,0,0,0,3+,Semi-furnished,Low,Low-rise,3.25
flat,Sector 50,2400,Moderately Old,3,3,0,1,0,3,Semi-furnished,Medium,Low-rise,2.75
house,Sector 3 Phase 2,993,Relatively New,5,3,0,0,0,1,Semi-furnished,Low,Low-rise,0.85
flat,Sector 56,1810,Moderately Old,3,3,0,1,0,3+,Un-furnished,Average,Mid-rise,1.55
flat,Sector 102,1311,Relatively New,3,4,0,1,0,3,Un-furnished,High,Mid-rise,1.55
flat,Sector 63,1642,Relatively New,3,3,0,1,0,3+,Un-furnished,Low,High-rise,3.0
flat,Sector 69,1287,Relatively New,3,3,0,0,0,1,Semi-furnished,Medium,High-rise,1.36
flat,Sector 102,1957,Relatively New,4,4,0,0,0,3+,Semi-furnished,Medium,High-rise,2.4
flat,Sector 66,1470,Relatively New,2,3,0,1,0,3,Un-furnished,Medium,High-rise,1.85
flat,Sector 43,2661,Relatively New,4,2,0,1,0,2,Semi-furnished,Low,Mid-rise,6.5
flat,Sector 85,2179,New Property,3,4,0,0,1,3+,Semi-furnished,Medium,Mid-rise,1.78
flat,Sector 113,2971,Relatively New,4,4,1,1,0,3+,Un-furnished,High,High-rise,3.35
flat,Sector 66,2200,Relatively New,3,1,1,0,0,2,Semi-furnished,Medium,Mid-rise,3.5
flat,Sector 69,1640,Relatively New,3,3,0,0,0,3,Semi-furnished,Average,High-rise,2.06
flat,Sector 92,2517,Relatively New,4,3,0,1,0,3,Semi-furnished,Medium,High-rise,1.19
flat,Sector 4,950,Relatively New,2,2,0,0,0,1,Semi-furnished,Low,Basement/Ground Floor,0.39
flat,Sector 37D,773,New Property,3,3,0,0,0,2,Semi-furnished,Average,Low-rise,0.5
house,Sector 56,2751,Relatively New,3,1,0,1,0,2,Un-furnished,Low,Mid-rise,11.95
flat,Sector 70,1523,New Property,3,3,0,1,0,3,Semi-furnished,Average,Mid-rise,1.63
flat,Sector 65,1186,New Property,2,2,0,0,0,2,Semi-furnished,Medium,Skyscraper,2.1
flat,Sohna Road,835,New Property,2,2,1,0,0,3+,Semi-furnished,Medium,Low-rise,0.95
flat,Sohna Road,1600,Relatively New,3,3,0,0,0,3+,Semi-furnished,High,Mid-rise,1.07
flat,Sohna Road,576,New Property,2,2,0,0,0,2,Semi-furnished,Average,High-rise,0.35
flat,Sector 28,1109,Moderately Old,2,2,0,0,0,2,Semi-furnished,Low,Low-rise,1.35
flat,Sector 79,2031,Relatively New,3,4,0,1,0,3+,Semi-furnished,Medium,Mid-rise,2.03
flat,Sector 106,2100,Relatively New,4,4,0,1,0,3+,Un-furnished,High,High-rise,1.35
flat,Sector 48,3305,Old,5,2,0,1,0,3+,Semi-furnished,Medium,Mid-rise,3.3
flat,Sector 28,1269,New Property,2,2,0,0,0,2,Furnished,Medium,High-rise,1.91
house,Sector 2,2435,Moderately Old,3,3,0,0,0,2,Un-furnished,Low,Low-rise,5.7
flat,Sector 62,1664,Relatively New,2,2,0,0,0,3,Semi-furnished,Medium,Skyscraper,2.15
flat,Sohna Road,822,Relatively New,2,2,0,0,0,2,Semi-furnished,Medium,Low-rise,0.58
house,Farukhnagar,906,Old,6,3,0,0,0,1,Semi-furnished,Average,Basement/Ground Floor,2.3
flat,Sector 109,1579,Relatively New,3,3,0,0,0,3,Semi-furnished,Medium,Mid-rise,1.68
flat,Sohna Road,585,New Property,2,2,0,0,0,1,Semi-furnished,Medium,High-rise,0.3
flat,Sector 81,2300,Relatively New,3,4,1,1,1,3+,Un-furnished,Medium,Mid-rise,2.25
flat,Sector 81,1875,Relatively New,3,3,0,1,0,3+,Furnished,Medium,Low-rise,2.21
flat,Sector 84,1154,Relatively New,2,2,0,0,0,3,Un-furnished,Low,Mid-rise,0.85
flat,Sector 99A,1133,New Property,2,2,0,0,0,3,Semi-furnished,Medium,Low-rise,0.59
flat,Sector 84,1843,New Property,3,3,0,1,0,3,Semi-furnished,Medium,Low-rise,1.5
flat,Sohna Road,1358,Relatively New,2,2,0,0,0,3+,Semi-furnished,Medium,High-rise,0.74
flat,Sector 104,832,Relatively New,2,2,1,0,0,3,Semi-furnished,Medium,High-rise,0.82
house,Sector 57,2706,Old,4,2,0,1,0,2,Un-furnished,Low,Low-rise,6.0
flat,Sector 37C,2134,New Property,3,4,0,1,0,3+,Semi-furnished,Medium,High-rise,1.5
flat,Sector 103,1250,Relatively New,2,2,1,0,0,3,Un-furnished,Medium,Mid-rise,1.15
flat,Sector 108,734,Relatively New,2,1,1,0,0,3,Semi-furnished,Medium,Mid-rise,0.98
house,Sector 109,5411,Relatively New,5,2,0,1,0,1,Semi-furnished,High,Low-rise,7.0
flat,Sector 88A,1733,Relatively New,2,2,1,0,0,3+,Furnished,Medium,Mid-rise,1.45
house,Sector 14,1930,Old,3,2,0,0,0,3,Un-furnished,Low,Low-rise,3.5
flat,Sector 102,2208,Relatively New,3,3,1,1,1,3,Semi-furnished,Medium,High-rise,1.92
flat,Sector 95,366,Relatively New,1,1,0,0,0,1,Semi-furnished,Average,Mid-rise,0.2
flat,Sector 67A,773,Relatively New,2,2,0,0,0,2,Semi-furnished,Average,Basement/Ground Floor,0.56
flat,Sector 60,1403,Relatively New,2,1,1,0,0,2,Semi-furnished,Medium,Mid-rise,2.5
house,Sector 57,1668,Moderately Old,4,3,1,1,1,3,Semi-furnished,High,Low-rise,3.3
flat,Sector 80,1922,Moderately Old,3,4,0,1,0,2,Semi-furnished,Medium,Mid-rise,1.4
house,Sector 28,1450,Old,2,2,0,0,1,1,Semi-furnished,Average,Low-rise,1.39
house,Sector 66,8068,New Property,5,3,1,1,1,1,Semi-furnished,Medium,Low-rise,15.1
flat,Sector 90,1435,Relatively New,2,2,0,0,0,3,Semi-furnished,Medium,Mid-rise,0.75
flat,Sector 59,2295,New Property,3,1,0,0,0,0,Semi-furnished,Low,Basement/Ground Floor,3.9
flat,Sector 92,1433,Relatively New,3,3,0,0,0,2,Semi-furnished,Medium,High-rise,0.68
flat,Sector 92,709,Relatively New,3,3,0,0,0,3+,Semi-furnished,Medium,Mid-rise,0.39
flat,Manesar,1900,Moderately Old,3,3,0,1,0,3+,Semi-furnished,Low,Mid-rise,0.91
flat,Sector 90,626,New Property,2,2,0,0,0,1,Un-furnished,Average,Low-rise,0.45
house,Sector 67,3607,Moderately Old,6,3,1,1,0,1,Un-furnished,Average,Skyscraper,8.0
flat,Sector 65,1821,Relatively New,3,3,1,1,0,3+,Un-furnished,Average,Low-rise,2.8
house,Sector 52,2713,Moderately Old,3,3,0,1,0,2,Un-furnished,Low,Low-rise,5.5
flat,Sushant Lok,3806,Old,4,2,0,0,0,3,Semi-furnished,Low,Low-rise,6.0
house,Sector 104,1172,Moderately Old,3,2,0,0,0,3,Semi-furnished,Low,Low-rise,0.6
house,Sector 23,2525,Moderately Old,2,3,1,1,0,2,Un-furnished,Medium,Low-rise,5.5
flat,Sector 2,1738,Moderately Old,3,4,0,1,0,3+,Semi-furnished,Medium,High-rise,1.59
flat,Sector 82,1620,New Property,3,4,0,1,0,2,Semi-furnished,Medium,High-rise,0.99
house,Sector 9,360,Old,2,2,0,0,0,1,Semi-furnished,Low,Low-rise,0.35
